Count,Name,Foil,Card Number,Edition,Language
1,Sun Titan,foil,1,Duel Decks: Heroes vs. Monsters,English
1,Somberwald Vigilante,,2,Duel Decks: Heroes vs. Monsters,English
1,Figure of Destiny,,3,Duel Decks: Heroes vs. Monsters,English
1,Cavalry Pegasus,,4,Duel Decks: Heroes vs. Monsters,English
1,Fencing Ace,,5,Duel Decks: Heroes vs. Monsters,English
1,Thraben Valiant,,6,Duel Decks: Heroes vs. Monsters,English
2,Stun Sniper,,7,Duel Decks: Heroes vs. Monsters,English
1,Truefire Paladin,,8,Duel Decks: Heroes vs. Monsters,English
1,Auramancer,,9,Duel Decks: Heroes vs. Monsters,English
2,Freewind Equenaut,,10,Duel Decks: Heroes vs. Monsters,English
1,Anax and Cymede,,11,Duel Decks: Heroes vs. Monsters,English
2,Armory Guard,,12,Duel Decks: Heroes vs. Monsters,English
1,Gustcloak Sentinel,,13,Duel Decks: Heroes vs. Monsters,English
1,Dawnstrike Paladin,,14,Duel Decks: Heroes vs. Monsters,English
1,Nobilis of War,,15,Duel Decks: Heroes vs. Monsters,English
1,"Kamahl, Pit Fighter",,16,Duel Decks: Heroes vs. Monsters,English
2,Condemn,,17,Duel Decks: Heroes vs. Monsters,English
1,Daily Regimen,,18,Duel Decks: Heroes vs. Monsters,English
1,Pay No Heed,,19,Duel Decks: Heroes vs. Monsters,English
1,Righteousness,,20,Duel Decks: Heroes vs. Monsters,English
1,Stand Firm,,21,Duel Decks: Heroes vs. Monsters,English
1,Magma Jet,,22,Duel Decks: Heroes vs. Monsters,English
1,Ordeal of Purphoros,,23,Duel Decks: Heroes vs. Monsters,English
1,Bonds of Faith,,24,Duel Decks: Heroes vs. Monsters,English
1,Moment of Heroism,,25,Duel Decks: Heroes vs. Monsters,English
1,Undying Rage,,26,Duel Decks: Heroes vs. Monsters,English
1,Battle Mastery,,27,Duel Decks: Heroes vs. Monsters,English
1,Griffin Guide,,28,Duel Decks: Heroes vs. Monsters,English
1,Smite the Monstrous,,29,Duel Decks: Heroes vs. Monsters,English
1,Miraculous Recovery,,30,Duel Decks: Heroes vs. Monsters,English
1,Winds of Rath,,31,Duel Decks: Heroes vs. Monsters,English
1,Pyrokinesis,,32,Duel Decks: Heroes vs. Monsters,English
2,Boros Guildgate,,33,Duel Decks: Heroes vs. Monsters,English
2,New Benalia,,34,Duel Decks: Heroes vs. Monsters,English
3,Mountain,,35,Duel Decks: Heroes vs. Monsters,English
3,Mountain,,36,Duel Decks: Heroes vs. Monsters,English
3,Mountain,,37,Duel Decks: Heroes vs. Monsters,English
2,Mountain,,38,Duel Decks: Heroes vs. Monsters,English
3,Plains,,39,Duel Decks: Heroes vs. Monsters,English
2,Plains,,40,Duel Decks: Heroes vs. Monsters,English
2,Plains,,41,Duel Decks: Heroes vs. Monsters,English
2,Plains,,42,Duel Decks: Heroes vs. Monsters,English
1,Griffin,,1,Extras: Duel Decks: Heroes vs. Monsters,English
,,,,,
1,"Polukranos, World Eater",foil,43,Duel Decks: Heroes vs. Monsters,English
1,Orcish Lumberjack,,44,Duel Decks: Heroes vs. Monsters,English
2,Deadly Recluse,,45,Duel Decks: Heroes vs. Monsters,English
1,Kavu Predator,,46,Duel Decks: Heroes vs. Monsters,English
1,Satyr Hedonist,,47,Duel Decks: Heroes vs. Monsters,English
1,Zhur-Taa Druid,,48,Duel Decks: Heroes vs. Monsters,English
2,Blood Ogre,,49,Duel Decks: Heroes vs. Monsters,English
1,Troll Ascetic,,50,Duel Decks: Heroes vs. Monsters,English
1,Crowned Ceratok,,51,Duel Decks: Heroes vs. Monsters,English
2,Gorehorn Minotaurs,,52,Duel Decks: Heroes vs. Monsters,English
1,Ghor-Clan Savage,,53,Duel Decks: Heroes vs. Monsters,English
1,Deus of Calamity,,54,Duel Decks: Heroes vs. Monsters,English
1,Conquering Manticore,,55,Duel Decks: Heroes vs. Monsters,English
1,Crater Hellion,,56,Duel Decks: Heroes vs. Monsters,English
1,Skarrgan Firebird,,57,Duel Decks: Heroes vs. Monsters,English
2,Valley Rannet,,58,Duel Decks: Heroes vs. Monsters,English
