Count,Name,Foil,Card Number,Edition,Language
1,"Niv-Mizzet, the Firemind",foil,1,Duel Decks: Izzet vs. Golgari,English
2,Kiln Fiend,,2,Duel Decks: Izzet vs. Golgari,English
1,Goblin Electromancer,,3,Duel Decks: Izzet vs. Golgari,English
1,Izzet Guildmage,,4,Duel Decks: Izzet vs. Golgari,English
1,Gelectrode,,5,Duel Decks: Izzet vs. Golgari,English
2,Wee Dragonauts,,6,Duel Decks: Izzet vs. Golgari,English
1,Steamcore Weird,,7,Duel Decks: Izzet vs. Golgari,English
2,Shrewd Hatchling,,8,Duel Decks: Izzet vs. Golgari,English
1,Ogre Savant,,9,Duel Decks: Izzet vs. Golgari,English
1,Galvanoth,,10,Duel Decks: Izzet vs. Golgari,English
1,Izzet Chronarch,,11,Duel Decks: Izzet vs. Golgari,English
1,Djinn Illuminatus,,12,Duel Decks: Izzet vs. Golgari,English
1,Brainstorm,,13,Duel Decks: Izzet vs. Golgari,English
1,Force Spike,,14,Duel Decks: Izzet vs. Golgari,English
1,Magma Spray,,15,Duel Decks: Izzet vs. Golgari,English
1,Isochron Scepter,,16,Duel Decks: Izzet vs. Golgari,English
1,Izzet Signet,,17,Duel Decks: Izzet vs. Golgari,English
1,Call to Heel,,18,Duel Decks: Izzet vs. Golgari,English
1,Train of Thought,,19,Duel Decks: Izzet vs. Golgari,English
2,Pyromatics,,20,Duel Decks: Izzet vs. Golgari,English
1,Izzet Charm,,21,Duel Decks: Izzet vs. Golgari,English
1,Reminisce,,22,Duel Decks: Izzet vs. Golgari,English
1,Thunderheads,,23,Duel Decks: Izzet vs. Golgari,English
1,Vacuumelt,,24,Duel Decks: Izzet vs. Golgari,English
1,Dissipate,,25,Duel Decks: Izzet vs. Golgari,English
1,Quicksilver Dagger,,26,Duel Decks: Izzet vs. Golgari,English
1,Prophetic Bolt,,27,Duel Decks: Izzet vs. Golgari,English
1,Overwhelming Intellect,,28,Duel Decks: Izzet vs. Golgari,English
1,Sphinx-Bone Wand,,29,Duel Decks: Izzet vs. Golgari,English
1,Street Spasm,,30,Duel Decks: Izzet vs. Golgari,English
1,Invoke the Firemind,,31,Duel Decks: Izzet vs. Golgari,English
1,Fire // Ice,,32,Duel Decks: Izzet vs. Golgari,English
1,Forgotten Cave,,33,Duel Decks: Izzet vs. Golgari,English
2,Izzet Boilerworks,,34,Duel Decks: Izzet vs. Golgari,English
1,Lonely Sandbar,,35,Duel Decks: Izzet vs. Golgari,English
1,"Nivix, Aerie of the Firemind",,36,Duel Decks: Izzet vs. Golgari,English
3,Island,,37,Duel Decks: Izzet vs. Golgari,English
3,Island,,38,Duel Decks: Izzet vs. Golgari,English
2,Island,,39,Duel Decks: Izzet vs. Golgari,English
2,Island,,40,Duel Decks: Izzet vs. Golgari,English
3,Mountain,,41,Duel Decks: Izzet vs. Golgari,English
2,Mountain,,42,Duel Decks: Izzet vs. Golgari,English
2,Mountain,,43,Duel Decks: Izzet vs. Golgari,English
2,Mountain,,44,Duel Decks: Izzet vs. Golgari,English
,,,,,
1,"Jarad, Golgari Lich Lord",foil,45,Duel Decks: Izzet vs. Golgari,English
1,Plagued Rusalka,,46,Duel Decks: Izzet vs. Golgari,English
2,Elves of Deep Shadow,,47,Duel Decks: Izzet vs. Golgari,English
1,Golgari Thug,,48,Duel Decks: Izzet vs. Golgari,English
1,Ravenous Rats,,49,Duel Decks: Izzet vs. Golgari,English
1,Reassembling Skeleton,,50,Duel Decks: Izzet vs. Golgari,English
1,Boneyard Wurm,,51,Duel Decks: Izzet vs. Golgari,English
1,Korozda Guildmage,,52,Duel Decks: Izzet vs. Golgari,English
1,Putrid Leech,,53,Duel Decks: Izzet vs. Golgari,English
1,Stinkweed Imp,,54,Duel Decks: Izzet vs. Golgari,English
1,Eternal Witness,,55,Duel Decks: Izzet vs. Golgari,English
1,Dreg Mangler,,56,Duel Decks: Izzet vs. Golgari,English
1,Shambling Shell,,57,Duel Decks: Izzet vs. Golgari,English
1,Brain Weevil,,58,Duel Decks: Izzet vs. Golgari,English
1,Greater Mossdog,,59,Duel Decks: Izzet vs. Golgari,English
1,Golgari Grave-Troll,,60,Duel Decks: Izzet vs. Golgari,English
1,Stingerfling Spider,,61,Duel Decks: Izzet vs. Golgari,English
1,Sadistic Hypnotist,,62,Duel Decks: Izzet vs. Golgari,English
2,Golgari Rotwurm,,63,Duel Decks: Izzet vs. Golgari,English
1,Gleancrawler,,64,Duel Decks: Izzet vs. Golgari,English
1,Doomgape,,65,Duel Decks: Izzet vs. Golgari,English
1,Golgari Signet,,66,Duel Decks: Izzet vs. Golgari,English
1,Ghoul's Feast,,67,Duel Decks: Izzet vs. Golgari,English
1,Yoke of the Damned,,68,Duel Decks: Izzet vs. Golgari,English
1,Life from the Loam,,69,Duel Decks: Izzet vs. Golgari,English
1,Golgari Germination,,70,Duel Decks: Izzet vs. Golgari,English
2,Putrefy,,71,Duel Decks: Izzet vs. Golgari,English
1,Feast or Famine,,72,Duel Decks: Izzet vs. Golgari,English
1,Nightmare Void,,73,Duel Decks: Izzet vs. Golgari,English
1,Vigor Mortis,,74,Duel Decks: Izzet vs. Golgari,English
1,Grim Flowering,,75,Duel Decks: Izzet vs. Golgari,English
1,Twilight's Call,,76,Duel Decks: Izzet vs. Golgari,English
1,Life // Death,,77,Duel Decks: Izzet vs. Golgari,English
1,Barren Moor,,78,Duel Decks: Izzet vs. Golgari,English
1,Dakmor Salvage,,79,Duel Decks: Izzet vs. Golgari,English
2,Golgari Rot Farm,,80,Duel Decks: Izzet vs. Golgari,English
1,"Svogthos, the Restless Tomb",,81,Duel Decks: Izzet vs. Golgari,English
1,Tranquil Thicket,,82,Duel Decks: Izzet vs. Golgari,English
3,Swamp,,83,Duel Decks: Izzet vs. Golgari,English
3,Swamp,,84,Duel Decks: Izzet vs. Golgari,English
2,Swamp,,85,Duel Decks: Izzet vs. Golgari,English
2,Swamp,,86,Duel Decks: Izzet vs. Golgari,English
2,Forest,,87,Duel Decks: Izzet vs. Golgari,English
2,Forest,,88,Duel Decks: Izzet vs. Golgari,English
2,Forest,,89,Duel Decks: Izzet vs. Golgari,English
2,Forest,,90,Duel Decks: Izzet vs. Golgari,English
2,Saproling,,1,Extras: Duel Decks: Izzet vs. Golgari,English
