Count,Name,Foil,Card Number,Edition
1,Jace Beleren,foil,1,Duel Decks: Jace vs. Chandra
1,Martyr of Frost,,2,Duel Decks: Jace vs. Chandra
2,Fathom Seer,,3,Duel Decks: Jace vs. Chandra
1,Voidmage Apprentice,,4,Duel Decks: Jace vs. Chandra
2,Wall of Deceit,,5,Duel Decks: Jace vs. Chandra
1,Willbender,,6,Duel Decks: Jace vs. Chandra
1,Bottle Gnomes,,7,Duel Decks: Jace vs. Chandra
2,Man-o'-War,,8,Duel Decks: Jace vs. Chandra
1,Ophidian,,9,Duel Decks: Jace vs. Chandra
1,Fledgling Mawcor,,10,Duel Decks: Jace vs. Chandra
1,Waterspout Djinn,,11,Duel Decks: Jace vs. Chandra
2,Mulldrifter,,12,Duel Decks: Jace vs. Chandra
1,Air Elemental,,13,Duel Decks: Jace vs. Chandra
1,Guile,,14,Duel Decks: Jace vs. Chandra
1,Riftwing Cloudskate,,15,Duel Decks: Jace vs. Chandra
2,Spire Golem,,16,Duel Decks: Jace vs. Chandra
1,Aethersnipe,,17,Duel Decks: Jace vs. Chandra
1,Brine Elemental,,18,Duel Decks: Jace vs. Chandra
1,Quicksilver Dragon,,19,Duel Decks: Jace vs. Chandra
1,Errant Ephemeron,,20,Duel Decks: Jace vs. Chandra
1,Ancestral Vision,,21,Duel Decks: Jace vs. Chandra
1,Mind Stone,,22,Duel Decks: Jace vs. Chandra
1,Daze,,23,Duel Decks: Jace vs. Chandra
2,Counterspell,,24,Duel Decks: Jace vs. Chandra
2,Repulse,,25,Duel Decks: Jace vs. Chandra
1,Fact or Fiction,,26,Duel Decks: Jace vs. Chandra
1,Gush,,27,Duel Decks: Jace vs. Chandra
2,Condescend,,28,Duel Decks: Jace vs. Chandra
1,Terrain Generator,,29,Duel Decks: Jace vs. Chandra
6,Island,,30,Duel Decks: Jace vs. Chandra
6,Island,,31,Duel Decks: Jace vs. Chandra
6,Island,,32,Duel Decks: Jace vs. Chandra
5,Island,,33,Duel Decks: Jace vs. Chandra
1,Chandra Nalaar,foil,34,Duel Decks: Jace vs. Chandra
2,Flamekin Brawler,,35,Duel Decks: Jace vs. Chandra
1,Fireslinger,,36,Duel Decks: Jace vs. Chandra
2,Soulbright Flamekin,,37,Duel Decks: Jace vs. Chandra
1,Pyre Charger,,38,Duel Decks: Jace vs. Chandra
2,Slith Firewalker,,39,Duel Decks: Jace vs. Chandra
1,Flamewave Invoker,,40,Duel Decks: Jace vs. Chandra
2,Inner-Flame Acolyte,,41,Duel Decks: Jace vs. Chandra
1,Flametongue Kavu,,42,Duel Decks: Jace vs. Chandra
2,Furnace Whelp,,43,Duel Decks: Jace vs. Chandra
1,Rakdos Pit Dragon,,44,Duel Decks: Jace vs. Chandra
1,Ingot Chewer,,45,Duel Decks: Jace vs. Chandra
2,Oxidda Golem,,46,Duel Decks: Jace vs. Chandra
1,Chartooth Cougar,,47,Duel Decks: Jace vs. Chandra
1,Hostility,,48,Duel Decks: Jace vs. Chandra
2,Firebolt,,49,Duel Decks: Jace vs. Chandra
2,Seal of Fire,,50,Duel Decks: Jace vs. Chandra
2,Incinerate,,51,Duel Decks: Jace vs. Chandra
1,Magma Jet,,52,Duel Decks: Jace vs. Chandra
1,Flame Javelin,,53,Duel Decks: Jace vs. Chandra
1,Cone of Flame,,54,Duel Decks: Jace vs. Chandra
2,Fireblast,,55,Duel Decks: Jace vs. Chandra
2,Fireball,,56,Duel Decks: Jace vs. Chandra
1,Demonfire,,57,Duel Decks: Jace vs. Chandra
1,Keldon Megaliths,,58,Duel Decks: Jace vs. Chandra
6,Mountain,,59,Duel Decks: Jace vs. Chandra
6,Mountain,,60,Duel Decks: Jace vs. Chandra
6,Mountain,,61,Duel Decks: Jace vs. Chandra
6,Mountain,,62,Duel Decks: Jace vs. Chandra
3,Elemental Shaman,,1,Extras: Duel Decks: Jace vs. Chandra
