Count,Name,Foil,Card Number,Edition,Language
1,"Jace, Architect of Thought",foil,1,Duel Decks: Jace vs. Vraska,English
1,Chronomaton,,2,Duel Decks: Jace vs. Vraska,English
1,Jace's Phantasm,,3,Duel Decks: Jace vs. Vraska,English
1,Phantasmal Bear,,4,Duel Decks: Jace vs. Vraska,English
1,Aether Figment,,5,Duel Decks: Jace vs. Vraska,English
1,Crosstown Courier,,6,Duel Decks: Jace vs. Vraska,English
1,Dream Stalker,,7,Duel Decks: Jace vs. Vraska,English
2,Krovikan Mist,,8,Duel Decks: Jace vs. Vraska,English
1,Merfolk Wayfinder,,9,Duel Decks: Jace vs. Vraska,English
1,Sea Gate Oracle,,10,Duel Decks: Jace vs. Vraska,English
1,Stealer of Secrets,,11,Duel Decks: Jace vs. Vraska,English
1,Aether Adept,,12,Duel Decks: Jace vs. Vraska,English
1,Archaeomancer,,13,Duel Decks: Jace vs. Vraska,English
1,Phantasmal Dragon,,14,Duel Decks: Jace vs. Vraska,English
1,Body Double,,15,Duel Decks: Jace vs. Vraska,English
1,Leyline Phantom,,16,Duel Decks: Jace vs. Vraska,English
1,Aeon Chronicler,,17,Duel Decks: Jace vs. Vraska,English
1,Riftwing Cloudskate,,18,Duel Decks: Jace vs. Vraska,English
1,Jace's Mindseeker,,19,Duel Decks: Jace vs. Vraska,English
1,Errant Ephemeron,,20,Duel Decks: Jace vs. Vraska,English
2,Thought Scour,,21,Duel Decks: Jace vs. Vraska,English
1,Agoraphobia,,22,Duel Decks: Jace vs. Vraska,English
1,Into the Roil,,23,Duel Decks: Jace vs. Vraska,English
1,Memory Lapse,,24,Duel Decks: Jace vs. Vraska,English
1,Prohibit,,25,Duel Decks: Jace vs. Vraska,English
1,Remand,,26,Duel Decks: Jace vs. Vraska,English
1,Claustrophobia,,27,Duel Decks: Jace vs. Vraska,English
1,Griptide,,28,Duel Decks: Jace vs. Vraska,English
1,Ray of Command,,29,Duel Decks: Jace vs. Vraska,English
1,Control Magic,,30,Duel Decks: Jace vs. Vraska,English
1,Summoner's Bane,,31,Duel Decks: Jace vs. Vraska,English
1,Jace's Ingenuity,,32,Duel Decks: Jace vs. Vraska,English
1,Future Sight,,33,Duel Decks: Jace vs. Vraska,English
1,Spelltwine,,34,Duel Decks: Jace vs. Vraska,English
1,Dread Statuary,,35,Duel Decks: Jace vs. Vraska,English
2,Halimar Depths,,36,Duel Decks: Jace vs. Vraska,English
5,Island,,37,Duel Decks: Jace vs. Vraska,English
4,Island,,38,Duel Decks: Jace vs. Vraska,English
4,Island,,39,Duel Decks: Jace vs. Vraska,English
4,Island,,40,Duel Decks: Jace vs. Vraska,English
4,Island,,41,Duel Decks: Jace vs. Vraska,English
,,,,,
1,Vraska the Unseen,foil,42,Duel Decks: Jace vs. Vraska,English
1,Pulse Tracker,,43,Duel Decks: Jace vs. Vraska,English
1,Shadow Alley Denizen,,44,Duel Decks: Jace vs. Vraska,English
1,Tavern Swindler,,45,Duel Decks: Jace vs. Vraska,English
1,Wight of Precinct Six,,46,Duel Decks: Jace vs. Vraska,English
1,Death-Hood Cobra,,47,Duel Decks: Jace vs. Vraska,English
2,Gatecreeper Vine,,48,Duel Decks: Jace vs. Vraska,English
1,River Boa,,49,Duel Decks: Jace vs. Vraska,English
1,Vinelasher Kudzu,,50,Duel Decks: Jace vs. Vraska,English
1,Putrid Leech,,51,Duel Decks: Jace vs. Vraska,English
1,Sadistic Augermage,,52,Duel Decks: Jace vs. Vraska,English
1,Slate Street Ruffian,,53,Duel Decks: Jace vs. Vraska,English
1,Oran-Rief Recluse,,54,Duel Decks: Jace vs. Vraska,English
1,Spawnwrithe,,55,Duel Decks: Jace vs. Vraska,English
1,Stonefare Crocodile,,56,Duel Decks: Jace vs. Vraska,English
1,Ohran Viper,,57,Duel Decks: Jace vs. Vraska,English
1,Corpse Traders,,58,Duel Decks: Jace vs. Vraska,English
1,Festerhide Boar,,59,Duel Decks: Jace vs. Vraska,English
1,Mold Shambler,,60,Duel Decks: Jace vs. Vraska,English
1,Highway Robber,,61,Duel Decks: Jace vs. Vraska,English
1,Nekrataal,,62,Duel Decks: Jace vs. Vraska,English
1,Reaper of the Wilds,,63,Duel Decks: Jace vs. Vraska,English
1,Acidic Slime,,64,Duel Decks: Jace vs. Vraska,English
1,Drooling Groodion,,65,Duel Decks: Jace vs. Vraska,English
2,Tragic Slip,,66,Duel Decks: Jace vs. Vraska,English
1,Hypnotic Cloud,,67,Duel Decks: Jace vs. Vraska,English
1,Night's Whisper,,68,Duel Decks: Jace vs. Vraska,English
1,Marsh Casualties,,69,Duel Decks: Jace vs. Vraska,English
1,Treasured Find,,70,Duel Decks: Jace vs. Vraska,English
1,Last Kiss,,71,Duel Decks: Jace vs. Vraska,English
1,Stab Wound,,72,Duel Decks: Jace vs. Vraska,English
1,Underworld Connections,,73,Duel Decks: Jace vs. Vraska,English
1,Consume Strength,,74,Duel Decks: Jace vs. Vraska,English
1,Grisly Spectacle,,75,Duel Decks: Jace vs. Vraska,English
1,Golgari Guildgate,,76,Duel Decks: Jace vs. Vraska,English
1,Rogue's Passage,,77,Duel Decks: Jace vs. Vraska,English
2,Tainted Wood,,78,Duel Decks: Jace vs. Vraska,English
3,Swamp,,79,Duel Decks: Jace vs. Vraska,English
2,Swamp,,80,Duel Decks: Jace vs. Vraska,English
2,Swamp,,81,Duel Decks: Jace vs. Vraska,English
2,Swamp,,82,Duel Decks: Jace vs. Vraska,English
2,Swamp,,83,Duel Decks: Jace vs. Vraska,English
2,Forest,,84,Duel Decks: Jace vs. Vraska,English
2,Forest,,85,Duel Decks: Jace vs. Vraska,English
2,Forest,,86,Duel Decks: Jace vs. Vraska,English
2,Forest,,87,Duel Decks: Jace vs. Vraska,English
1,Forest,,88,Duel Decks: Jace vs. Vraska,English
3,Assassin,,1,Extras: Duel Decks: Jace vs. Vraska,English
