Count,Name,Foil,Card Number,Edition,Language
1,Knight of the Reliquary,foil,1,Duel Decks: Knights vs. Dragons,English
1,Caravan Escort,,2,Duel Decks: Knights vs. Dragons,English
2,Lionheart Maverick,,3,Duel Decks: Knights vs. Dragons,English
2,Knight of Cliffhaven,,4,Duel Decks: Knights vs. Dragons,English
1,Knight of Meadowgrain,,5,Duel Decks: Knights vs. Dragons,English
1,Knight of the White Orchid,,6,Duel Decks: Knights vs. Dragons,English
1,Leonin Skyhunter,,7,Duel Decks: Knights vs. Dragons,English
1,Silver Knight,,8,Duel Decks: Knights vs. Dragons,English
1,White Knight,,9,Duel Decks: Knights vs. Dragons,English
1,Knotvine Paladin,,10,Duel Decks: Knights vs. Dragons,English
1,Steward of Valeron,,11,Duel Decks: Knights vs. Dragons,English
1,Benalish Lancer,,12,Duel Decks: Knights vs. Dragons,English
1,Zhalfirin Commander,,13,Duel Decks: Knights vs. Dragons,English
1,Knight Exemplar,,14,Duel Decks: Knights vs. Dragons,English
1,Wilt-Leaf Cavaliers,,15,Duel Decks: Knights vs. Dragons,English
1,Kabira Vindicator,,16,Duel Decks: Knights vs. Dragons,English
1,Kinsbaile Cavalier,,17,Duel Decks: Knights vs. Dragons,English
1,Alaborn Cavalier,,18,Duel Decks: Knights vs. Dragons,English
1,Skyhunter Patrol,,19,Duel Decks: Knights vs. Dragons,English
1,Plover Knights,,20,Duel Decks: Knights vs. Dragons,English
1,Juniper Order Ranger,,21,Duel Decks: Knights vs. Dragons,English
1,Paladin of Prahv,,22,Duel Decks: Knights vs. Dragons,English
1,Harm's Way,,23,Duel Decks: Knights vs. Dragons,English
1,Reciprocate,,24,Duel Decks: Knights vs. Dragons,English
1,Edge of Autumn,,25,Duel Decks: Knights vs. Dragons,English
1,Mighty Leap,,26,Duel Decks: Knights vs. Dragons,English
1,Reprisal,,27,Duel Decks: Knights vs. Dragons,English
1,Test of Faith,,28,Duel Decks: Knights vs. Dragons,English
1,Heroes' Reunion,,29,Duel Decks: Knights vs. Dragons,English
1,Sigil Blessing,,30,Duel Decks: Knights vs. Dragons,English
1,Loxodon Warhammer,,31,Duel Decks: Knights vs. Dragons,English
1,Spidersilk Armor,,32,Duel Decks: Knights vs. Dragons,English
1,Griffin Guide,,33,Duel Decks: Knights vs. Dragons,English
1,Oblivion Ring,,34,Duel Decks: Knights vs. Dragons,English
2,Grasslands,,35,Duel Decks: Knights vs. Dragons,English
1,Sejiri Steppe,,36,Duel Decks: Knights vs. Dragons,English
2,Selesnya Sanctuary,,37,Duel Decks: Knights vs. Dragons,English
1,Treetop Village,,38,Duel Decks: Knights vs. Dragons,English
3,Plains,,39,Duel Decks: Knights vs. Dragons,English
3,Plains,,40,Duel Decks: Knights vs. Dragons,English
3,Plains,,41,Duel Decks: Knights vs. Dragons,English
3,Plains,,42,Duel Decks: Knights vs. Dragons,English
2,Forest,,43,Duel Decks: Knights vs. Dragons,English
2,Forest,,44,Duel Decks: Knights vs. Dragons,English
1,Forest,,45,Duel Decks: Knights vs. Dragons,English
1,Forest,,46,Duel Decks: Knights vs. Dragons,English
,,,,,
1,Bogardan Hellkite,foil,47,Duel Decks: Knights vs. Dragons,English
1,Cinder Wall,,48,Duel Decks: Knights vs. Dragons,English
1,Skirk Prospector,,49,Duel Decks: Knights vs. Dragons,English
1,Bloodmark Mentor,,50,Duel Decks: Knights vs. Dragons,English
1,Fire-Belly Changeling,,51,Duel Decks: Knights vs. Dragons,English
2,Mudbutton Torchrunner,,52,Duel Decks: Knights vs. Dragons,English
1,Dragonspeaker Shaman,,53,Duel Decks: Knights vs. Dragons,English
2,Dragon Whelp,,54,Duel Decks: Knights vs. Dragons,English
1,Henge Guardian,,55,Duel Decks: Knights vs. Dragons,English
1,Voracious Dragon,,56,Duel Decks: Knights vs. Dragons,English
1,Bogardan Rager,,57,Duel Decks: Knights vs. Dragons,English
1,Mordant Dragon,,58,Duel Decks: Knights vs. Dragons,English
1,Kilnmouth Dragon,,59,Duel Decks: Knights vs. Dragons,English
1,Shivan Hellkite,,60,Duel Decks: Knights vs. Dragons,English
1,Thunder Dragon,,61,Duel Decks: Knights vs. Dragons,English
2,Armillary Sphere,,62,Duel Decks: Knights vs. Dragons,English
1,Dragon's Claw,,63,Duel Decks: Knights vs. Dragons,English
1,Breath of Darigaaz,,64,Duel Decks: Knights vs. Dragons,English
2,Dragon Fodder,,65,Duel Decks: Knights vs. Dragons,English
1,Punishing Fire,,66,Duel Decks: Knights vs. Dragons,English
1,Spitting Earth,,67,Duel Decks: Knights vs. Dragons,English
1,Captive Flame,,68,Duel Decks: Knights vs. Dragons,English
1,Ghostfire,,69,Duel Decks: Knights vs. Dragons,English
1,Seething Song,,70,Duel Decks: Knights vs. Dragons,English
1,Seismic Strike,,71,Duel Decks: Knights vs. Dragons,English
1,Claws of Valakut,,72,Duel Decks: Knights vs. Dragons,English
1,Temporary Insanity,,73,Duel Decks: Knights vs. Dragons,English
1,Shiv's Embrace,,74,Duel Decks: Knights vs. Dragons,English
1,Cone of Flame,,75,Duel Decks: Knights vs. Dragons,English
2,Fiery Fall,,76,Duel Decks: Knights vs. Dragons,English
1,Jaws of Stone,,77,Duel Decks: Knights vs. Dragons,English
6,Mountain,,78,Duel Decks: Knights vs. Dragons,English
6,Mountain,,79,Duel Decks: Knights vs. Dragons,English
6,Mountain,,80,Duel Decks: Knights vs. Dragons,English
6,Mountain,,81,Duel Decks: Knights vs. Dragons,English
2,Goblin,,1,Extras: Duel Decks: Knights vs. Dragons,English
