Count,Name,Foil,Card Number,Edition,Language
1,Master of Waves,foil,1,Duel Decks: Merfolk vs. Goblins,English
4,Aquitect's Will,,2,Duel Decks: Merfolk vs. Goblins,English
2,Claustrophobia,,3,Duel Decks: Merfolk vs. Goblins,English
1,Concentrate,,4,Duel Decks: Merfolk vs. Goblins,English
1,Engulf the Shore,,5,Duel Decks: Merfolk vs. Goblins,English
2,Essence Scatter,,6,Duel Decks: Merfolk vs. Goblins,English
1,Harbinger of the Tides,,7,Duel Decks: Merfolk vs. Goblins,English
1,Inkfathom Divers,,8,Duel Decks: Merfolk vs. Goblins,English
1,Master of the Pearl Trident,,9,Duel Decks: Merfolk vs. Goblins,English
1,Merfolk Looter,,10,Duel Decks: Merfolk vs. Goblins,English
1,Merfolk Sovereign,,11,Duel Decks: Merfolk vs. Goblins,English
1,Merfolk Wayfinder,,12,Duel Decks: Merfolk vs. Goblins,English
1,Merrow Reejerey,,13,Duel Decks: Merfolk vs. Goblins,English
1,Mind Spring,,14,Duel Decks: Merfolk vs. Goblins,English
1,Misdirection,,15,Duel Decks: Merfolk vs. Goblins,English
2,Rootwater Hunter,,16,Duel Decks: Merfolk vs. Goblins,English
2,Scroll Thief,,17,Duel Decks: Merfolk vs. Goblins,English
3,Streambed Aquitects,,18,Duel Decks: Merfolk vs. Goblins,English
2,Tidal Courier,,19,Duel Decks: Merfolk vs. Goblins,English
2,Tidal Warrior,,20,Duel Decks: Merfolk vs. Goblins,English
1,Tidal Wave,,21,Duel Decks: Merfolk vs. Goblins,English
1,Tidebinder Mage,,22,Duel Decks: Merfolk vs. Goblins,English
1,Triton Tactics,,23,Duel Decks: Merfolk vs. Goblins,English
1,Wake Thrasher,,24,Duel Decks: Merfolk vs. Goblins,English
1,Cold-Eyed Selkie,,25,Duel Decks: Merfolk vs. Goblins,English
1,Blighted Cataract,,26,Duel Decks: Merfolk vs. Goblins,English
2,Lonely Sandbar,,27,Duel Decks: Merfolk vs. Goblins,English
6,Island,,28,Duel Decks: Merfolk vs. Goblins,English
5,Island,,29,Duel Decks: Merfolk vs. Goblins,English
5,Island,,30,Duel Decks: Merfolk vs. Goblins,English
5,Island,,31,Duel Decks: Merfolk vs. Goblins,English
4,Elemental,,1,Extras: Duel Decks: Merfolk vs. Goblins,English
1,Wall,,2,Extras: Duel Decks: Merfolk vs. Goblins,English
,,,,,
1,Warren Instigator,foil,32,Duel Decks: Merfolk vs. Goblins,English
1,Battle Squadron,,33,Duel Decks: Merfolk vs. Goblins,English
2,Boggart Brute,,34,Duel Decks: Merfolk vs. Goblins,English
2,Brute Strength,,35,Duel Decks: Merfolk vs. Goblins,English
1,Cleaver Riot,,36,Duel Decks: Merfolk vs. Goblins,English
1,Ember Hauler,,37,Duel Decks: Merfolk vs. Goblins,English
2,Foundry Street Denizen,,38,Duel Decks: Merfolk vs. Goblins,English
1,Gempalm Incinerator,,39,Duel Decks: Merfolk vs. Goblins,English
3,Ghostfire,,40,Duel Decks: Merfolk vs. Goblins,English
1,Goblin Chieftain,,41,Duel Decks: Merfolk vs. Goblins,English
1,Goblin Diplomats,,42,Duel Decks: Merfolk vs. Goblins,English
1,Goblin Glory Chaser,,43,Duel Decks: Merfolk vs. Goblins,English
1,Goblin Goon,,44,Duel Decks: Merfolk vs. Goblins,English
1,Goblin Grenade,,45,Duel Decks: Merfolk vs. Goblins,English
1,Goblin Rabblemaster,,46,Duel Decks: Merfolk vs. Goblins,English
1,Goblin Razerunners,,47,Duel Decks: Merfolk vs. Goblins,English
2,Goblin Ringleader,,48,Duel Decks: Merfolk vs. Goblins,English
1,Goblin Tunneler,,49,Duel Decks: Merfolk vs. Goblins,English
2,Goblin Wardriver,,50,Duel Decks: Merfolk vs. Goblins,English
1,Hordeling Outburst,,51,Duel Decks: Merfolk vs. Goblins,English
1,"Krenko, Mob Boss",,52,Duel Decks: Merfolk vs. Goblins,English
3,Krenko's Command,,53,Duel Decks: Merfolk vs. Goblins,English
1,Relentless Assault,,54,Duel Decks: Merfolk vs. Goblins,English
2,Tarfire,,55,Duel Decks: Merfolk vs. Goblins,English
1,Brittle Effigy,,56,Duel Decks: Merfolk vs. Goblins,English
1,Goblin Charbelcher,,57,Duel Decks: Merfolk vs. Goblins,English
2,Blighted Gorge,,58,Duel Decks: Merfolk vs. Goblins,English
2,Forgotten Cave,,59,Duel Decks: Merfolk vs. Goblins,English
5,Mountain,,60,Duel Decks: Merfolk vs. Goblins,English
5,Mountain,,61,Duel Decks: Merfolk vs. Goblins,English
5,Mountain,,62,Duel Decks: Merfolk vs. Goblins,English
5,Mountain,,63,Duel Decks: Merfolk vs. Goblins,English
5,Goblin,,3,Extras: Duel Decks: Merfolk vs. Goblins,English
