Count,Name,Foil,Card Number,Edition,Language
1,Jhoira of the Ghitu,foil,1,Duel Decks: Mind vs. Might,English
1,Beacon of Tomorrows,,2,Duel Decks: Mind vs. Might,English
1,Deep-Sea Kraken,,3,Duel Decks: Mind vs. Might,English
1,Mind's Desire,,4,Duel Decks: Mind vs. Might,English
2,Peer Through Depths,,5,Duel Decks: Mind vs. Might,English
1,Quicken,,6,Duel Decks: Mind vs. Might,English
3,Reach Through Mists,,7,Duel Decks: Mind vs. Might,English
1,Sage-Eye Avengers,,8,Duel Decks: Mind vs. Might,English
2,Sift Through Sands,,9,Duel Decks: Mind vs. Might,English
2,Snap,,10,Duel Decks: Mind vs. Might,English
1,"Talrand, Sky Summoner",,11,Duel Decks: Mind vs. Might,English
1,Temporal Fissure,,12,Duel Decks: Mind vs. Might,English
1,The Unspeakable,,13,Duel Decks: Mind vs. Might,English
1,Desperate Ritual,,14,Duel Decks: Mind vs. Might,English
2,Empty the Warrens,,15,Duel Decks: Mind vs. Might,English
1,Grapeshot,,16,Duel Decks: Mind vs. Might,English
3,Rift Bolt,,17,Duel Decks: Mind vs. Might,English
1,Shivan Meteor,,18,Duel Decks: Mind vs. Might,English
1,Volcanic Vision,,19,Duel Decks: Mind vs. Might,English
2,Young Pyromancer,,20,Duel Decks: Mind vs. Might,English
1,Firemind's Foresight,,21,Duel Decks: Mind vs. Might,English
2,Goblin Electromancer,,22,Duel Decks: Mind vs. Might,English
1,"Jori En, Ruin Diver",,23,Duel Decks: Mind vs. Might,English
1,Nivix Cyclops,,24,Duel Decks: Mind vs. Might,English
1,Spellheart Chimera,,25,Duel Decks: Mind vs. Might,English
1,Nucklavee,,26,Duel Decks: Mind vs. Might,English
4,Swiftwater Cliffs,,27,Duel Decks: Mind vs. Might,English
4,Island,,28,Duel Decks: Mind vs. Might,English
3,Island,,29,Duel Decks: Mind vs. Might,English
3,Island,,30,Duel Decks: Mind vs. Might,English
4,Mountain,,31,Duel Decks: Mind vs. Might,English
3,Mountain,,32,Duel Decks: Mind vs. Might,English
3,Mountain,,33,Duel Decks: Mind vs. Might,English
1,Drake,,1,Extras: Duel Decks: Mind vs. Might,English
2,Elemental,,2,Extras: Duel Decks: Mind vs. Might,English
2,Goblin,,3,Extras: Duel Decks: Mind vs. Might,English
,,,,,
1,Lovisa Coldeyes,foil,34,Duel Decks: Mind vs. Might,English
1,Beacon of Destruction,,35,Duel Decks: Mind vs. Might,English
1,Boldwyr Intimidator,,36,Duel Decks: Mind vs. Might,English
2,Firebolt,,37,Duel Decks: Mind vs. Might,English
2,Gorehorn Minotaurs,,38,Duel Decks: Mind vs. Might,English
1,"Kamahl, Pit Fighter",,39,Duel Decks: Mind vs. Might,English
2,Kruin Striker,,40,Duel Decks: Mind vs. Might,English
1,Zo-Zu the Punisher,,41,Duel Decks: Mind vs. Might,English
2,Ambassador Oak,,42,Duel Decks: Mind vs. Might,English
1,Beast Attack,,43,Duel Decks: Mind vs. Might,English
2,Call of the Herd,,44,Duel Decks: Mind vs. Might,English
2,Cloudcrown Oak,,45,Duel Decks: Mind vs. Might,English
1,Harmonize,,46,Duel Decks: Mind vs. Might,English
1,Increasing Savagery,,47,Duel Decks: Mind vs. Might,English
2,Rampant Growth,,48,Duel Decks: Mind vs. Might,English
1,Roar of the Wurm,,49,Duel Decks: Mind vs. Might,English
2,Skarrgan Pit-Skulk,,50,Duel Decks: Mind vs. Might,English
2,Sylvan Might,,51,Duel Decks: Mind vs. Might,English
1,Talara's Battalion,,52,Duel Decks: Mind vs. Might,English
1,"Radha, Heir to Keld",,53,Duel Decks: Mind vs. Might,English
1,Relentless Hunter,,54,Duel Decks: Mind vs. Might,English
2,Burning-Tree Emissary,,55,Duel Decks: Mind vs. Might,English
1,Guttural Response,,56,Duel Decks: Mind vs. Might,English
1,Rubblebelt Raiders,,57,Duel Decks: Mind vs. Might,English
1,Coat of Arms,,58,Duel Decks: Mind vs. Might,English
4,Rugged Highlands,,59,Duel Decks: Mind vs. Might,English
4,Mountain,,60,Duel Decks: Mind vs. Might,English
4,Mountain,,61,Duel Decks: Mind vs. Might,English
3,Mountain,,62,Duel Decks: Mind vs. Might,English
4,Forest,,63,Duel Decks: Mind vs. Might,English
3,Forest,,64,Duel Decks: Mind vs. Might,English
3,Forest,,65,Duel Decks: Mind vs. Might,English
1,Beast,,4,Extras: Duel Decks: Mind vs. Might,English
2,Elephant,,5,Extras: Duel Decks: Mind vs. Might,English
1,Elf Warrior,,6,Extras: Duel Decks: Mind vs. Might,English
1,Wurm,,7,Extras: Duel Decks: Mind vs. Might,English
