Count,Name,Foil,Card Number,Edition,Language
1,"Nissa, Voice of Zendikar",foil,1,Duel Decks: Nissa vs. Ob Nixilis,English
1,Abundance,,2,Duel Decks: Nissa vs. Ob Nixilis,English
2,Briarhorn,,3,Duel Decks: Nissa vs. Ob Nixilis,English
2,Citanul Woodreaders,,4,Duel Decks: Nissa vs. Ob Nixilis,English
2,Civic Wayfinder,,5,Duel Decks: Nissa vs. Ob Nixilis,English
1,Cloudthresher,,6,Duel Decks: Nissa vs. Ob Nixilis,English
1,Crop Rotation,,7,Duel Decks: Nissa vs. Ob Nixilis,English
2,Elvish Visionary,,8,Duel Decks: Nissa vs. Ob Nixilis,English
1,Fertilid,,9,Duel Decks: Nissa vs. Ob Nixilis,English
1,Gaea's Blessing,,10,Duel Decks: Nissa vs. Ob Nixilis,English
2,Gilt-Leaf Seer,,11,Duel Decks: Nissa vs. Ob Nixilis,English
2,Jaddi Lifestrider,,12,Duel Decks: Nissa vs. Ob Nixilis,English
1,Natural Connection,,13,Duel Decks: Nissa vs. Ob Nixilis,English
1,Nissa's Chosen,,14,Duel Decks: Nissa vs. Ob Nixilis,English
1,Oakgnarl Warrior,,15,Duel Decks: Nissa vs. Ob Nixilis,English
1,Oran-Rief Hydra,,16,Duel Decks: Nissa vs. Ob Nixilis,English
1,Oran-Rief Invoker,,17,Duel Decks: Nissa vs. Ob Nixilis,English
1,Saddleback Lagac,,18,Duel Decks: Nissa vs. Ob Nixilis,English
2,Scythe Leopard,,19,Duel Decks: Nissa vs. Ob Nixilis,English
1,Seek the Horizon,,20,Duel Decks: Nissa vs. Ob Nixilis,English
1,Thicket Elemental,,21,Duel Decks: Nissa vs. Ob Nixilis,English
2,Thornweald Archer,,22,Duel Decks: Nissa vs. Ob Nixilis,English
2,Vines of the Recluse,,23,Duel Decks: Nissa vs. Ob Nixilis,English
1,Walker of the Grove,,24,Duel Decks: Nissa vs. Ob Nixilis,English
1,Wood Elves,,25,Duel Decks: Nissa vs. Ob Nixilis,English
2,Woodborn Behemoth,,26,Duel Decks: Nissa vs. Ob Nixilis,English
2,Fertile Thicket,,27,Duel Decks: Nissa vs. Ob Nixilis,English
2,Khalni Garden,,28,Duel Decks: Nissa vs. Ob Nixilis,English
1,Mosswort Bridge,,29,Duel Decks: Nissa vs. Ob Nixilis,English
1,Treetop Village,,30,Duel Decks: Nissa vs. Ob Nixilis,English
4,Forest,,31,Duel Decks: Nissa vs. Ob Nixilis,English
4,Forest,,32,Duel Decks: Nissa vs. Ob Nixilis,English
4,Forest,,33,Duel Decks: Nissa vs. Ob Nixilis,English
3,Forest,,34,Duel Decks: Nissa vs. Ob Nixilis,English
3,Forest,,35,Duel Decks: Nissa vs. Ob Nixilis,English
1,Elemental,,74,Duel Decks: Nissa vs. Ob Nixilis,English
4,Plant,,75,Duel Decks: Nissa vs. Ob Nixilis,English
,,,,,
1,Ob Nixilis Reignited,foil,36,Duel Decks: Nissa vs. Ob Nixilis,English
1,Altar's Reap,,37,Duel Decks: Nissa vs. Ob Nixilis,English
1,Ambition's Cost,,38,Duel Decks: Nissa vs. Ob Nixilis,English
1,Bala Ged Scorpion,,39,Duel Decks: Nissa vs. Ob Nixilis,English
2,Blistergrub,,40,Duel Decks: Nissa vs. Ob Nixilis,English
1,Cadaver Imp,,41,Duel Decks: Nissa vs. Ob Nixilis,English
2,Carrier Thrall,,42,Duel Decks: Nissa vs. Ob Nixilis,English
1,Demon's Grasp,,43,Duel Decks: Nissa vs. Ob Nixilis,English
1,Desecration Demon,,44,Duel Decks: Nissa vs. Ob Nixilis,English
1,Despoiler of Souls,,45,Duel Decks: Nissa vs. Ob Nixilis,English
1,Disfigure,,46,Duel Decks: Nissa vs. Ob Nixilis,English
2,Doom Blade,,47,Duel Decks: Nissa vs. Ob Nixilis,English
2,Fetid Imp,,48,Duel Decks: Nissa vs. Ob Nixilis,English
1,Foul Imp,,49,Duel Decks: Nissa vs. Ob Nixilis,English
1,Giant Scorpion,,50,Duel Decks: Nissa vs. Ob Nixilis,English
2,Grim Discovery,,51,Duel Decks: Nissa vs. Ob Nixilis,English
1,Hideous End,,52,Duel Decks: Nissa vs. Ob Nixilis,English
1,Indulgent Tormentor,,53,Duel Decks: Nissa vs. Ob Nixilis,English
1,Innocent Blood,,54,Duel Decks: Nissa vs. Ob Nixilis,English
1,Mire's Toll,,55,Duel Decks: Nissa vs. Ob Nixilis,English
1,Pestilence Demon,,56,Duel Decks: Nissa vs. Ob Nixilis,English
1,Priest of the Blood Rite,,57,Duel Decks: Nissa vs. Ob Nixilis,English
2,Quest for the Gravelord,,58,Duel Decks: Nissa vs. Ob Nixilis,English
1,Renegade Demon,,59,Duel Decks: Nissa vs. Ob Nixilis,English
1,Shadows of the Past,,60,Duel Decks: Nissa vs. Ob Nixilis,English
2,Smallpox,,61,Duel Decks: Nissa vs. Ob Nixilis,English
1,Squelching Leeches,,62,Duel Decks: Nissa vs. Ob Nixilis,English
1,Tendrils of Corruption,,63,Duel Decks: Nissa vs. Ob Nixilis,English
1,Unhallowed Pact,,64,Duel Decks: Nissa vs. Ob Nixilis,English
2,Leechridden Swamp,,65,Duel Decks: Nissa vs. Ob Nixilis,English
4,Swamp,,66,Duel Decks: Nissa vs. Ob Nixilis,English
5,Swamp,,67,Duel Decks: Nissa vs. Ob Nixilis,English
5,Swamp,,68,Duel Decks: Nissa vs. Ob Nixilis,English
4,Swamp,,69,Duel Decks: Nissa vs. Ob Nixilis,English
4,Swamp,,70,Duel Decks: Nissa vs. Ob Nixilis,English
2,Eldrazi Scion,,71,Duel Decks: Nissa vs. Ob Nixilis,English
1,Demon,,72,Duel Decks: Nissa vs. Ob Nixilis,English
1,Zombie Giant,,73,Duel Decks: Nissa vs. Ob Nixilis,English
1,Emblem: Ob Nixilis Reignited,,76,Duel Decks: Nissa vs. Ob Nixilis,English
