Count,Name,Foil,Card Number,Edition,Language,
1,Phyrexian Negator,foil,1,Duel Decks: Phyrexia vs. the Coalition,English,
1,Carrion Feeder,,2,Duel Decks: Phyrexia vs. the Coalition,English,
1,Phyrexian Battleflies,,3,Duel Decks: Phyrexia vs. the Coalition,English,
1,Phyrexian Denouncer,,4,Duel Decks: Phyrexia vs. the Coalition,English,
1,Bone Shredder,,5,Duel Decks: Phyrexia vs. the Coalition,English,
1,Phyrexian Ghoul,,6,Duel Decks: Phyrexia vs. the Coalition,English,
2,Priest of Gix,,7,Duel Decks: Phyrexia vs. the Coalition,English,
1,Phyrexian Broodlings,,8,Duel Decks: Phyrexia vs. the Coalition,English,
1,Sanguine Guard,,9,Duel Decks: Phyrexia vs. the Coalition,English,
1,Phyrexian Debaser,,10,Duel Decks: Phyrexia vs. the Coalition,English,
1,Order of Yawgmoth,,11,Duel Decks: Phyrexia vs. the Coalition,English,
1,Phyrexian Defiler,,12,Duel Decks: Phyrexia vs. the Coalition,English,
1,Phyrexian Plaguelord,,13,Duel Decks: Phyrexia vs. the Coalition,English,
1,Phyrexian Hulk,,14,Duel Decks: Phyrexia vs. the Coalition,English,
1,Phyrexian Gargantua,,15,Duel Decks: Phyrexia vs. the Coalition,English,
1,Phyrexian Colossus,,16,Duel Decks: Phyrexia vs. the Coalition,English,
1,Voltaic Key,,17,Duel Decks: Phyrexia vs. the Coalition,English,
2,Dark Ritual,,18,Duel Decks: Phyrexia vs. the Coalition,English,
1,Lightning Greaves,,19,Duel Decks: Phyrexia vs. the Coalition,English,
1,Phyrexian Totem,,20,Duel Decks: Phyrexia vs. the Coalition,English,
1,Phyrexian Vault,,21,Duel Decks: Phyrexia vs. the Coalition,English,
2,Puppet Strings,,22,Duel Decks: Phyrexia vs. the Coalition,English,
1,Whispersilk Cloak,,23,Duel Decks: Phyrexia vs. the Coalition,English,
1,Worn Powerstone,,24,Duel Decks: Phyrexia vs. the Coalition,English,
1,Slay,,25,Duel Decks: Phyrexia vs. the Coalition,English,
1,Hideous End,,26,Duel Decks: Phyrexia vs. the Coalition,English,
1,Phyrexian Arena,,27,Duel Decks: Phyrexia vs. the Coalition,English,
1,Hornet Cannon,,28,Duel Decks: Phyrexia vs. the Coalition,English,
1,Phyrexian Processor,,29,Duel Decks: Phyrexia vs. the Coalition,English,
2,Tendrils of Corruption,,30,Duel Decks: Phyrexia vs. the Coalition,English,
1,Living Death,,31,Duel Decks: Phyrexia vs. the Coalition,English,
7,Swamp,,32,Duel Decks: Phyrexia vs. the Coalition,English,
7,Swamp,,33,Duel Decks: Phyrexia vs. the Coalition,English,
6,Swamp,,34,Duel Decks: Phyrexia vs. the Coalition,English,
6,Swamp,,35,Duel Decks: Phyrexia vs. the Coalition,English,
1,Hornet,,1,Extras: Duel Decks: Phyrexia vs. the Coalition,English,
1,Minion,,2,Extras: Duel Decks: Phyrexia vs. the Coalition,English,
,,,,,,
1,Urza's Rage,foil,36,Duel Decks: Phyrexia vs. the Coalition,English,
2,Thornscape Apprentice,,37,Duel Decks: Phyrexia vs. the Coalition,English,
2,Nomadic Elf,,38,Duel Decks: Phyrexia vs. the Coalition,English,
1,Quirion Elves,,39,Duel Decks: Phyrexia vs. the Coalition,English,
1,Sunscape Battlemage,,40,Duel Decks: Phyrexia vs. the Coalition,English,
1,Thunderscape Battlemage,,41,Duel Decks: Phyrexia vs. the Coalition,English,
2,Thornscape Battlemage,,42,Duel Decks: Phyrexia vs. the Coalition,English,
1,Verduran Emissary,,43,Duel Decks: Phyrexia vs. the Coalition,English,
2,Yavimaya Elder,,44,Duel Decks: Phyrexia vs. the Coalition,English,
1,Charging Troll,,45,Duel Decks: Phyrexia vs. the Coalition,English,
1,Gerrard Capashen,,46,Duel Decks: Phyrexia vs. the Coalition,English,
1,"Darigaaz, the Igniter",,47,Duel Decks: Phyrexia vs. the Coalition,English,
1,"Rith, the Awakener",,48,Duel Decks: Phyrexia vs. the Coalition,English,
1,"Treva, the Renewer",,49,Duel Decks: Phyrexia vs. the Coalition,English,
1,Evasive Action,,50,Duel Decks: Phyrexia vs. the Coalition,English,
1,Tribal Flames,,51,Duel Decks: Phyrexia vs. the Coalition,English,
2,Fertile Ground,,52,Duel Decks: Phyrexia vs. the Coalition,English,
1,Gerrard's Command,,53,Duel Decks: Phyrexia vs. the Coalition,English,
1,Coalition Relic,,54,Duel Decks: Phyrexia vs. the Coalition,English,
