Count,Name,Foil,Card Number,Edition,Language
1,"Sorin, Lord of Innistrad",foil,1,Duel Decks: Sorin vs. Tibalt,English
2,Doomed Traveler,,2,Duel Decks: Sorin vs. Tibalt,English
1,Vampire Lacerator,,3,Duel Decks: Sorin vs. Tibalt,English
1,Wall of Omens,,4,Duel Decks: Sorin vs. Tibalt,English
1,Child of Night,,5,Duel Decks: Sorin vs. Tibalt,English
2,Duskhunter Bat,,6,Duel Decks: Sorin vs. Tibalt,English
1,Mesmeric Fiend,,7,Duel Decks: Sorin vs. Tibalt,English
1,Gatekeeper of Malakir,,8,Duel Decks: Sorin vs. Tibalt,English
1,Twilight Drover,,9,Duel Decks: Sorin vs. Tibalt,English
1,Bloodrage Vampire,,10,Duel Decks: Sorin vs. Tibalt,English
1,Fiend Hunter,,11,Duel Decks: Sorin vs. Tibalt,English
1,Vampire Nighthawk,,12,Duel Decks: Sorin vs. Tibalt,English
1,Mausoleum Guard,,13,Duel Decks: Sorin vs. Tibalt,English
1,Phantom General,,14,Duel Decks: Sorin vs. Tibalt,English
1,Vampire Outcasts,,15,Duel Decks: Sorin vs. Tibalt,English
1,Revenant Patriarch,,16,Duel Decks: Sorin vs. Tibalt,English
1,Sengir Vampire,,17,Duel Decks: Sorin vs. Tibalt,English
1,Butcher of Malakir,,18,Duel Decks: Sorin vs. Tibalt,English
1,Vampire's Bite,,19,Duel Decks: Sorin vs. Tibalt,English
1,Decompose,,20,Duel Decks: Sorin vs. Tibalt,English
1,Sorin's Thirst,,21,Duel Decks: Sorin vs. Tibalt,English
1,Urge to Feed,,22,Duel Decks: Sorin vs. Tibalt,English
1,Zealous Persecution,,23,Duel Decks: Sorin vs. Tibalt,English
1,Lingering Souls,,24,Duel Decks: Sorin vs. Tibalt,English
1,Mortify,,25,Duel Decks: Sorin vs. Tibalt,English
2,Spectral Procession,,26,Duel Decks: Sorin vs. Tibalt,English
1,Unmake,,27,Duel Decks: Sorin vs. Tibalt,English
1,Ancient Craving,,28,Duel Decks: Sorin vs. Tibalt,English
1,Mark of the Vampire,,29,Duel Decks: Sorin vs. Tibalt,English
1,Field of Souls,,30,Duel Decks: Sorin vs. Tibalt,English
1,Absorb Vis,,31,Duel Decks: Sorin vs. Tibalt,English
1,Death Grasp,,32,Duel Decks: Sorin vs. Tibalt,English
2,Evolving Wilds,,33,Duel Decks: Sorin vs. Tibalt,English
2,Tainted Field,,34,Duel Decks: Sorin vs. Tibalt,English
4,Swamp,,35,Duel Decks: Sorin vs. Tibalt,English
4,Swamp,,36,Duel Decks: Sorin vs. Tibalt,English
4,Swamp,,37,Duel Decks: Sorin vs. Tibalt,English
3,Plains,,38,Duel Decks: Sorin vs. Tibalt,English
