Count,Name,Foil,Card Number,Edition,Language
1,"Venser, the Sojourner",foil,1,Duel Decks: Venser vs. Koth,English
1,Whitemane Lion,,2,Duel Decks: Venser vs. Koth,English
1,Augury Owl,,3,Duel Decks: Venser vs. Koth,English
1,Coral Fighters,,4,Duel Decks: Venser vs. Koth,English
1,Minamo Sightbender,,5,Duel Decks: Venser vs. Koth,English
1,Mistmeadow Witch,,6,Duel Decks: Venser vs. Koth,English
2,Scroll Thief,,7,Duel Decks: Venser vs. Koth,English
1,Neurok Invisimancer,,8,Duel Decks: Venser vs. Koth,English
2,Slith Strider,,9,Duel Decks: Venser vs. Koth,English
1,Sky Spirit,,10,Duel Decks: Venser vs. Koth,English
1,Wall of Denial,,11,Duel Decks: Venser vs. Koth,English
1,Galepowder Mage,,12,Duel Decks: Venser vs. Koth,English
1,Kor Cartographer,,13,Duel Decks: Venser vs. Koth,English
1,Clone,,14,Duel Decks: Venser vs. Koth,English
1,Cryptic Annelid,,15,Duel Decks: Venser vs. Koth,English
1,Primal Plasma,,16,Duel Decks: Venser vs. Koth,English
1,Sawtooth Loon,,17,Duel Decks: Venser vs. Koth,English
1,Cache Raiders,,18,Duel Decks: Venser vs. Koth,English
1,Windreaver,,19,Duel Decks: Venser vs. Koth,English
1,Jedit's Dragoons,,20,Duel Decks: Venser vs. Koth,English
1,Sunblast Angel,,21,Duel Decks: Venser vs. Koth,English
1,Sphinx of Uthuun,,22,Duel Decks: Venser vs. Koth,English
1,Path to Exile,,23,Duel Decks: Venser vs. Koth,English
2,Preordain,,24,Duel Decks: Venser vs. Koth,English
1,Sigil of Sleep,,25,Duel Decks: Venser vs. Koth,English
1,Revoke Existence,,26,Duel Decks: Venser vs. Koth,English
1,Angelic Shield,,27,Duel Decks: Venser vs. Koth,English
1,Oblivion Ring,,28,Duel Decks: Venser vs. Koth,English
1,Safe Passage,,29,Duel Decks: Venser vs. Koth,English
1,Steel of the Godhead,,30,Duel Decks: Venser vs. Koth,English
1,Vanish into Memory,,31,Duel Decks: Venser vs. Koth,English
2,Overrule,,32,Duel Decks: Venser vs. Koth,English
1,Azorius Chancery,,33,Duel Decks: Venser vs. Koth,English
1,Flood Plain,,34,Duel Decks: Venser vs. Koth,English
1,New Benalia,,35,Duel Decks: Venser vs. Koth,English
2,Sejiri Refuge,,36,Duel Decks: Venser vs. Koth,English
1,Soaring Seacliff,,37,Duel Decks: Venser vs. Koth,English
3,Plains,,38,Duel Decks: Venser vs. Koth,English
2,Plains,,39,Duel Decks: Venser vs. Koth,English
2,Plains,,40,Duel Decks: Venser vs. Koth,English
4,Island,,41,Duel Decks: Venser vs. Koth,English
4,Island,,42,Duel Decks: Venser vs. Koth,English
3,Island,,43,Duel Decks: Venser vs. Koth,English
1,"Emblem: Venser, the Sojourner",,1,Extras: Duel Decks: Venser vs. Koth,English
,,,,,
1,Koth of the Hammer,foil,44,Duel Decks: Venser vs. Koth,English
2,Plated Geopede,,45,Duel Decks: Venser vs. Koth,English
1,Pygmy Pyrosaur,,46,Duel Decks: Venser vs. Koth,English
2,Pilgrim's Eye,,47,Duel Decks: Venser vs. Koth,English
1,Aether Membrane,,48,Duel Decks: Venser vs. Koth,English
2,Fiery Hellhound,,49,Duel Decks: Venser vs. Koth,English
1,Vulshok Sorcerer,,50,Duel Decks: Venser vs. Koth,English
1,Anger,,51,Duel Decks: Venser vs. Koth,English
1,Cosi's Ravager,,52,Duel Decks: Venser vs. Koth,English
1,Vulshok Berserker,,53,Duel Decks: Venser vs. Koth,English
1,Bloodfire Kavu,,54,Duel Decks: Venser vs. Koth,English
1,Stone Giant,,55,Duel Decks: Venser vs. Koth,English
1,Geyser Glider,,56,Duel Decks: Venser vs. Koth,English
1,Lithophage,,57,Duel Decks: Venser vs. Koth,English
1,Torchling,,58,Duel Decks: Venser vs. Koth,English
1,Chartooth Cougar,,59,Duel Decks: Venser vs. Koth,English
1,Earth Servant,,60,Duel Decks: Venser vs. Koth,English
1,Greater Stone Spirit,,61,Duel Decks: Venser vs. Koth,English
1,Bloodfire Colossus,,62,Duel Decks: Venser vs. Koth,English
2,Wayfarer's Bauble,,63,Duel Decks: Venser vs. Koth,English
1,Armillary Sphere,,64,Duel Decks: Venser vs. Koth,English
1,Journeyer's Kite,,65,Duel Decks: Venser vs. Koth,English
1,Vulshok Morningstar,,66,Duel Decks: Venser vs. Koth,English
1,Searing Blaze,,67,Duel Decks: Venser vs. Koth,English
1,Vulshok Battlegear,,68,Duel Decks: Venser vs. Koth,English
1,Downhill Charge,,69,Duel Decks: Venser vs. Koth,English
2,Seismic Strike,,70,Duel Decks: Venser vs. Koth,English
1,Spire Barrage,,71,Duel Decks: Venser vs. Koth,English
1,Jaws of Stone,,72,Duel Decks: Venser vs. Koth,English
1,Volley of Boulders,,73,Duel Decks: Venser vs. Koth,English
7,Mountain,,74,Duel Decks: Venser vs. Koth,English
6,Mountain,,75,Duel Decks: Venser vs. Koth,English
6,Mountain,,76,Duel Decks: Venser vs. Koth,English
6,Mountain,,77,Duel Decks: Venser vs. Koth,English
1,Emblem: Koth of the Hammer,,2,Extras: Duel Decks: Venser vs. Koth,English
