Count,Name,Foil,Card Number,Edition,Language
1,Avenger of Zendikar,foil,1,Duel Decks: Zendikar vs. Eldrazi,English
1,Affa Guard Hound,,2,Duel Decks: Zendikar vs. Eldrazi,English
2,Caravan Escort,,3,Duel Decks: Zendikar vs. Eldrazi,English
1,Kabira Vindicator,,4,Duel Decks: Zendikar vs. Eldrazi,English
1,Knight of Cliffhaven,,5,Duel Decks: Zendikar vs. Eldrazi,English
1,Makindi Griffin,,6,Duel Decks: Zendikar vs. Eldrazi,English
1,Oust,,7,Duel Decks: Zendikar vs. Eldrazi,English
1,Repel the Darkness,,8,Duel Decks: Zendikar vs. Eldrazi,English
2,Sheer Drop,,9,Duel Decks: Zendikar vs. Eldrazi,English
1,Beastbreaker of Bala Ged,,10,Duel Decks: Zendikar vs. Eldrazi,English
1,Daggerback Basilisk,,11,Duel Decks: Zendikar vs. Eldrazi,English
1,Frontier Guide,,12,Duel Decks: Zendikar vs. Eldrazi,English
2,Graypelt Hunter,,13,Duel Decks: Zendikar vs. Eldrazi,English
1,Grazing Gladehart,,14,Duel Decks: Zendikar vs. Eldrazi,English
1,Groundswell,,15,Duel Decks: Zendikar vs. Eldrazi,English
1,Harrow,,16,Duel Decks: Zendikar vs. Eldrazi,English
1,Joraga Bard,,17,Duel Decks: Zendikar vs. Eldrazi,English
1,Khalni Heart Expedition,,18,Duel Decks: Zendikar vs. Eldrazi,English
1,Ondu Giant,,19,Duel Decks: Zendikar vs. Eldrazi,English
1,Primal Command,,20,Duel Decks: Zendikar vs. Eldrazi,English
1,Retreat to Kazandu,,21,Duel Decks: Zendikar vs. Eldrazi,English
1,Scute Mob,,22,Duel Decks: Zendikar vs. Eldrazi,English
1,Tajuru Archer,,23,Duel Decks: Zendikar vs. Eldrazi,English
2,Territorial Baloth,,24,Duel Decks: Zendikar vs. Eldrazi,English
1,Turntimber Basilisk,,25,Duel Decks: Zendikar vs. Eldrazi,English
1,Wildheart Invoker,,26,Duel Decks: Zendikar vs. Eldrazi,English
1,Veteran Warleader,,27,Duel Decks: Zendikar vs. Eldrazi,English
1,Explorer's Scope,,28,Duel Decks: Zendikar vs. Eldrazi,English
1,Seer's Sundial,,29,Duel Decks: Zendikar vs. Eldrazi,English
1,Stonework Puma,,30,Duel Decks: Zendikar vs. Eldrazi,English
2,Evolving Wilds,,31,Duel Decks: Zendikar vs. Eldrazi,English
2,Graypelt Refuge,,32,Duel Decks: Zendikar vs. Eldrazi,English
1,Stirring Wildwood,,33,Duel Decks: Zendikar vs. Eldrazi,English
2,Turntimber Grove,,34,Duel Decks: Zendikar vs. Eldrazi,English
3,Plains,,35,Duel Decks: Zendikar vs. Eldrazi,English
3,Plains,,36,Duel Decks: Zendikar vs. Eldrazi,English
3,Plains,,37,Duel Decks: Zendikar vs. Eldrazi,English
