Count,Name,Foil,Card Number,Edition,Language
1,Faerie Vandal,,45,Throne of Eldraine,English
1,Run Away Together,,62,Throne of Eldraine,English
1,Beanstalk Giant // Fertile Footsteps,,149,Throne of Eldraine,English
1,Keeper of Fables,,163,Throne of Eldraine,English
1,Rosethorn Acolyte // Seasonal Ritual,,174,Throne of Eldraine,English
1,Maraleaf Pixie,,196,Throne of Eldraine,English
2,Plains,,250,Throne of Eldraine,English
1,Plains,,251,Throne of Eldraine,English
1,Plains,,252,Throne of Eldraine,English
1,Plains,,253,Throne of Eldraine,English
1,Island,,254,Throne of Eldraine,English
1,Island,,255,Throne of Eldraine,English
1,Island,,256,Throne of Eldraine,English
1,Island,,257,Throne of Eldraine,English
2,Forest,,266,Throne of Eldraine,English
2,Forest,,267,Throne of Eldraine,English
1,Forest,,268,Throne of Eldraine,English
1,Forest,,269,Throne of Eldraine,English
1,Thornwood Falls,,313,Throne of Eldraine,English
1,Faerie Formation,,316,Throne of Eldraine,English
1,Steelbane Hydra,,322,Throne of Eldraine,English
1,Thorn Mammoth,,323,Throne of Eldraine,English
1,"Chulane, Teller of Tales",foil,326,Throne of Eldraine,English
1,Arcane Signet,,331,Throne of Eldraine,English
1,Tome of Legends,,332,Throne of Eldraine,English
1,Command Tower,,333,Throne of Eldraine,English
1,Spectral Sailor,,76,Core Set 2020,English
1,Leafkin Druid,,178,Core Set 2020,English
1,Risen Reef,,217,Core Set 2020,English
1,Meteor Golem,,232,Core Set 2020,English
1,Blossoming Sands,,243,Core Set 2020,English
1,Evolving Wilds,,246,Core Set 2020,English
1,Temple of Mystery,,255,Core Set 2020,English
1,Tranquil Cove,,259,Core Set 2020,English
1,Parhelion II,,24,War of the Spark,English
1,Prison Realm,,26,War of the Spark,English
1,Paradise Druid,,171,War of the Spark,English
1,Time Wipe,,223,War of the Spark,English
1,Firemind Vessel,,237,War of the Spark,English
1,Forbidding Spirit,,9,Ravnica Allegiance,English
1,End-Raze Forerunners,,124,Ravnica Allegiance,English
1,Incubation Druid,,131,Ravnica Allegiance,English
1,Silhana Wayfinder,,141,Ravnica Allegiance,English
1,Biomancer's Familiar,,158,Ravnica Allegiance,English
1,Frilled Mystic,,174,Ravnica Allegiance,English
1,Growth Spiral,,178,Ravnica Allegiance,English
1,Gyre Engineer,,180,Ravnica Allegiance,English
1,Sharktocrab,,206,Ravnica Allegiance,English
1,Incubation // Incongruity,,226,Ravnica Allegiance,English
1,Azorius Guildgate,,243,Ravnica Allegiance,English
1,Hallowed Fountain,,251,Ravnica Allegiance,English
1,Simic Guildgate,,258,Ravnica Allegiance,English
1,Circuitous Route,,125,Guilds of Ravnica,English
1,District Guide,,128,Guilds of Ravnica,English
1,Kraul Harpooner,,136,Guilds of Ravnica,English
1,Flower // Flourish,,226,Guilds of Ravnica,English
1,Selesnya Guildgate,,256,Guilds of Ravnica,English
