Count,Name,Foil,Card Number,Edition,Language
3,Charmed Sleep,,40,Throne of Eldraine,English
2,Faerie Vandal,,45,Throne of Eldraine,English
3,Frogify,,47,Throne of Eldraine,English
2,Mistford River Turtle,,56,Throne of Eldraine,English
3,Tome Raider,,68,Throne of Eldraine,English
1,Beanstalk Giant // Fertile Footsteps,,149,Throne of Eldraine,English
3,Garenbrig Carver // Shield's Might,,156,Throne of Eldraine,English
2,Keeper of Fables,,163,Throne of Eldraine,English
1,Return of the Wildspeaker,,172,Throne of Eldraine,English
1,Tuinvale Treefolk // Oaken Boon,,180,Throne of Eldraine,English
1,Wildborn Preserver,,182,Throne of Eldraine,English
3,Maraleaf Pixie,,196,Throne of Eldraine,English
3,Island,,254,Throne of Eldraine,English
3,Island,,255,Throne of Eldraine,English
2,Island,,256,Throne of Eldraine,English
2,Island,,257,Throne of Eldraine,English
3,Forest,,266,Throne of Eldraine,English
3,Forest,,267,Throne of Eldraine,English
3,Forest,,268,Throne of Eldraine,English
2,Forest,,269,Throne of Eldraine,English
1,"Oko, the Trickster",foil,309,Throne of Eldraine,English
4,Oko's Accomplices,,310,Throne of Eldraine,English
3,Bramblefort Fink,,311,Throne of Eldraine,English
2,Oko's Hospitality,,312,Throne of Eldraine,English
4,Thornwood Falls,,313,Throne of Eldraine,English
