Count,Name,Foil,Card Number,Edition,Language
1,Acclaimed Contender,,1,Throne of Eldraine,English
2,Ardenvale Tactician // Dizzying Swoop,,5,Throne of Eldraine,English
1,Giant Killer // Chop Down,,14,Throne of Eldraine,English
2,Knight of the Keep,,19,Throne of Eldraine,English
2,Prized Griffin,,24,Throne of Eldraine,English
2,Venerable Knight,,35,Throne of Eldraine,English
2,Youthful Knight,,37,Throne of Eldraine,English
2,Joust,,129,Throne of Eldraine,English
3,Rimrock Knight // Boulder Rush,,137,Throne of Eldraine,English
3,Scorching Dragonfire,,139,Throne of Eldraine,English
1,Weaselback Redcap,,148,Throne of Eldraine,English
2,Inspiring Veteran,,194,Throne of Eldraine,English
2,Weapon Rack,,236,Throne of Eldraine,English
3,Plains,,250,Throne of Eldraine,English
3,Plains,,251,Throne of Eldraine,English
3,Plains,,252,Throne of Eldraine,English
2,Plains,,253,Throne of Eldraine,English
3,Mountain,,262,Throne of Eldraine,English
3,Mountain,,263,Throne of Eldraine,English
2,Mountain,,264,Throne of Eldraine,English
2,Mountain,,265,Throne of Eldraine,English
1,"Rowan, Fearless Sparkmage",foil,304,Throne of Eldraine,English
4,Garrison Griffin,,305,Throne of Eldraine,English
3,Rowan's Battleguard,,306,Throne of Eldraine,English
2,Rowan's Stalwarts,,307,Throne of Eldraine,English
4,Wind-Scarred Crag,,308,Throne of Eldraine,English
