Count,Name,Foil,Card Number,Edition,Language
1,Dominating Licid,,30,Exodus,English
1,Equilibrium,,32,Exodus,English
2,Fade Away,,34,Exodus,English
2,Forbid,,35,Exodus,English
2,Killer Whale,,37,Exodus,English
2,Mirozel,,41,Exodus,English
4,Thalakos Scout,,48,Exodus,English
1,Treasure Trove,,50,Exodus,English
2,Wayward Soul,,51,Exodus,English
1,Erratic Portal,,132,Exodus,English
2,Cloud Spirit,,26,Stronghold,English
3,Mana Leak,,36,Stronghold,English
2,Mind Games,,38,Stronghold,English
2,Capsize,,55,Tempest,English
4,Counterspell,,57,Tempest,English
1,Legacy's Allure,,71,Tempest,English
1,Propaganda,,80,Tempest,English
1,Time Ebb,,96,Tempest,English
7,Island,,313,Tempest,English
7,Island,,314,Tempest,English
6,Island,,315,Tempest,English
6,Island,,316,Tempest,English
