Count,Name,Foil,Card Number,Edition,Language
1,Beacon of Immortality,,1,Explorers of Ixalan,English
1,Day of Judgment,,2,Explorers of Ixalan,English
1,Path to Exile,,3,Explorers of Ixalan,English
1,Shielded by Faith,,4,Explorers of Ixalan,English
2,Veteran's Reflexes,,5,Explorers of Ixalan,English
1,Vow of Duty,,6,Explorers of Ixalan,English
1,Aether Gale,,7,Explorers of Ixalan,English
1,Blatant Thievery,,8,Explorers of Ixalan,English
1,Concentrate,,9,Explorers of Ixalan,English
1,Merfolk Sovereign,,10,Explorers of Ixalan,English
1,Threads of Disloyalty,,11,Explorers of Ixalan,English
1,Time Warp,,12,Explorers of Ixalan,English
2,Unsummon,,13,Explorers of Ixalan,English
1,Vow of Flight,,14,Explorers of Ixalan,English
2,Bloodbond Vampire,,15,Explorers of Ixalan,English
2,Child of Night,,16,Explorers of Ixalan,English
1,Coat with Venom,,17,Explorers of Ixalan,English
1,Doom Blade,,18,Explorers of Ixalan,English
1,Innocent Blood,,19,Explorers of Ixalan,English
1,Necropolis Regent,,20,Explorers of Ixalan,English
1,Urge to Feed,,21,Explorers of Ixalan,English
2,Vampire Interloper,,22,Explorers of Ixalan,English
1,Vampire Nighthawk,,23,Explorers of Ixalan,English
2,Vampire Noble,,24,Explorers of Ixalan,English
1,Aggravated Assault,,25,Explorers of Ixalan,English
1,Disaster Radius,,26,Explorers of Ixalan,English
1,Mass Mutiny,,27,Explorers of Ixalan,English
2,Rush of Adrenaline,,28,Explorers of Ixalan,English
1,Shared Animosity,,29,Explorers of Ixalan,English
1,Vow of Lightning,,30,Explorers of Ixalan,English
2,Borderland Ranger,,31,Explorers of Ixalan,English
1,Giant Growth,,32,Explorers of Ixalan,English
1,Hunter's Prowess,,33,Explorers of Ixalan,English
3,Prey Upon,,34,Explorers of Ixalan,English
2,Rancor,,35,Explorers of Ixalan,English
1,Soul of the Harvest,,36,Explorers of Ixalan,English
1,Vow of Wildness,,37,Explorers of Ixalan,English
2,Jungle Barrier,,38,Explorers of Ixalan,English
