Count,Name,Foil,Card Number,Edition,Language
1,Beacon of Immortality,,1,Explorers of Ixalan,English
1,Day of Judgment,,2,Explorers of Ixalan,English
1,Shielded by Faith,,4,Explorers of Ixalan,English
2,Veteran's Reflexes,,5,Explorers of Ixalan,English
1,Vow of Duty,,6,Explorers of Ixalan,English
2,Bloodbond Vampire,,15,Explorers of Ixalan,English
2,Child of Night,,16,Explorers of Ixalan,English
1,Necropolis Regent,,20,Explorers of Ixalan,English
1,Urge to Feed,,21,Explorers of Ixalan,English
2,Vampire Interloper,,22,Explorers of Ixalan,English
1,Vampire Nighthawk,,23,Explorers of Ixalan,English
2,Vampire Noble,,24,Explorers of Ixalan,English
2,Mortify,,40,Explorers of Ixalan,English
1,Zealous Persecution,,41,Explorers of Ixalan,English
2,Prismatic Lens,,43,Explorers of Ixalan,English
4,Tainted Field,,47,Explorers of Ixalan,English
1,Duskborne Skymarcher,,9,Ixalan,English
2,Paladin of the Bloodstained,,25,Ixalan,English
1,Anointed Deacon,,89,Ixalan,English
1,Bishop of the Bloodstained,,91,Ixalan,English
1,Bloodcrazed Paladin,,93,Ixalan,English
1,Deathless Ancient,,100,Ixalan,English
2,Queen's Bay Soldier,,115,Ixalan,English
2,Skymarch Bloodletter,,124,Ixalan,English
1,Vanquisher's Banner,,251,Ixalan,English
5,Plains,,260,Ixalan,English
4,Plains,,261,Ixalan,English
7,Swamp,,268,Ixalan,English
6,Swamp,,269,Ixalan,English
