Count,Name,Foil,Card Number,Edition,Language
1,Path to Exile,,3,Explorers of Ixalan,English
1,Aggravated Assault,,25,Explorers of Ixalan,English
1,Disaster Radius,,26,Explorers of Ixalan,English
2,Borderland Ranger,,31,Explorers of Ixalan,English
1,Hunter's Prowess,,33,Explorers of Ixalan,English
1,Prey Upon,,34,Explorers of Ixalan,English
1,Vow of Wildness,,37,Explorers of Ixalan,English
1,Lightning Helix,,39,Explorers of Ixalan,English
2,Prismatic Lens,,43,Explorers of Ixalan,English
1,Quicksilver Amulet,,44,Explorers of Ixalan,English
4,Jungle Shrine,,46,Explorers of Ixalan,English
1,Bellowing Aegisaur,,4,Ixalan,English
2,Imperial Aerosaur,,14,Ixalan,English
2,Raptor Companion,,31,Ixalan,English
2,Sheltering Light,,35,Ixalan,English
1,Burning Sun's Avatar,,135,Ixalan,English
1,Charging Monstrosaur,,138,Ixalan,English
1,Dinosaur Stampede,,140,Ixalan,English
1,Frenzied Raptor,,146,Ixalan,English
2,Nest Robber,,152,Ixalan,English
1,Raptor Hatchling,,155,Ixalan,English
1,Ancient Brontodon,,175,Ixalan,English
2,Drover of the Mighty,,187,Ixalan,English
1,Ravenous Daggertooth,,202,Ixalan,English
1,Savage Stomp,,205,Ixalan,English
1,Thundering Spineback,,210,Ixalan,English
1,Raging Swordtooth,,226,Ixalan,English
1,Regisaur Alpha,,227,Ixalan,English
3,Plains,,262,Ixalan,English
3,Plains,,263,Ixalan,English
4,Mountain,,274,Ixalan,English
3,Mountain,,275,Ixalan,English
5,Forest,,276,Ixalan,English
4,Forest,,279,Ixalan,English
