Count,Name,Foil,Card Number,Edition,Condition,Language
1,Monastery Siege,,43,Fate Reforged,Near Mint,English
1,Neutralizing Blast,,44,Fate Reforged,Near Mint,English
1,Sultai Skullkeeper,,53,Fate Reforged,Near Mint,English
1,Gurmag Angler,,72,Fate Reforged,Near Mint,English
1,Merciless Executioner,,76,Fate Reforged,Near Mint,English
1,Typhoid Rats,,89,Fate Reforged,Near Mint,English
2,Dismal Backwater,,168,Fate Reforged,Near Mint,English
2,Jungle Hollow,,169,Fate Reforged,Near Mint,English
10,Swamp,,181,Fate Reforged,Near Mint,English
9,Forest,,185,Fate Reforged,Near Mint,English
1,Set Adrift,,54,Khans of Tarkir,Near Mint,English
2,Taigam's Scheming,,57,Khans of Tarkir,Near Mint,English
1,Treasure Cruise,,59,Khans of Tarkir,Near Mint,English
1,Dead Drop,,67,Khans of Tarkir,Near Mint,English
1,Debilitating Injury,,68,Khans of Tarkir,Near Mint,English
1,Despise,,69,Khans of Tarkir,Near Mint,English
2,Murderous Cut,,81,Khans of Tarkir,Near Mint,English
2,Sultai Scavenger,,91,Khans of Tarkir,Near Mint,English
1,Naturalize,,142,Khans of Tarkir,Near Mint,English
2,Sultai Charm,,204,Khans of Tarkir,Near Mint,English
2,Sultai Soothsayer,,205,Khans of Tarkir,Near Mint,English
1,Sultai Banner,,225,Khans of Tarkir,Near Mint,English
4,Opulent Palace,,238,Khans of Tarkir,Near Mint,English
5,Island,,257,Khans of Tarkir,Near Mint,English
8,Swamp,,260,Khans of Tarkir,Near Mint,English
8,Forest,,269,Khans of Tarkir,Near Mint,English
2,Necromancer's Assistant,,107,Magic 2015 Core Set,Near Mint,English
1,Plummet,,192,Magic 2015 Core Set,Near Mint,English
4,Satyr Wayfinder,,198,Magic 2015 Core Set,Near Mint,English
2,Vineweft,,207,Magic 2015 Core Set,Near Mint,English
1,Scuttling Doom Engine,,229,Magic 2015 Core Set,Near Mint,English
2,Evolving Wilds,,243,Magic 2015 Core Set,Near Mint,English
2,Brain Maggot,,62,Journey into Nyx,Near Mint,English
1,Doomwake Giant,,66,Journey into Nyx,Near Mint,English
2,Grim Guardian,,73,Journey into Nyx,Near Mint,English
1,Nyx Infusion,,77,Journey into Nyx,Near Mint,English
1,Eidolon of Blossoms,,122,Journey into Nyx,Near Mint,English
1,Font of Fertility,,123,Journey into Nyx,Near Mint,English
2,Oakheart Dryads,,133,Journey into Nyx,Near Mint,English
1,Reviving Melody,,138,Journey into Nyx,Near Mint,English
3,Nyx Weaver,,153,Journey into Nyx,Near Mint,English
1,Herald of Torment,,75,Born of the Gods,Near Mint,English
1,Graverobber Spider,,122,Born of the Gods,Near Mint,English
1,Noble Quarry,,130,Born of the Gods,Near Mint,English
1,Annul,,38,Theros,Near Mint,English
1,Baleful Eidolon,,78,Theros,Near Mint,English
2,Dark Betrayal,,83,Theros,Near Mint,English
1,Loathsome Catoblepas,,95,Theros,Near Mint,English
1,Nighthowler,,98,Theros,Near Mint,English
1,Returned Centaur,,103,Theros,Near Mint,English
3,Commune with the Gods,,155,Theros,Near Mint,English
1,Defend the Hearth,,156,Theros,Near Mint,English
1,Leafcrown Dryad,,161,Theros,Near Mint,English
2,Nemesis of Mortals,,163,Theros,Near Mint,English
1,Necropolis Fiend,foil,1,Fate Reforged Clash Pack Promos,Near Mint,English
1,Hero's Downfall,foil,2,Fate Reforged Clash Pack Promos,Near Mint,English
1,Sultai Ascendancy,foil,3,Fate Reforged Clash Pack Promos,Near Mint,English
1,Reaper of the Wilds,foil,4,Fate Reforged Clash Pack Promos,Near Mint,English
1,Whip of Erebos,foil,5,Fate Reforged Clash Pack Promos,Near Mint,English
1,Courser of Kruphix,foil,6,Fate Reforged Clash Pack Promos,Near Mint,English
