Count,Name,Foil,Card Number,Edition,Language
2,Blacklance Paragon,,79,Throne of Eldraine,English
4,Foulmire Knight // Profane Insight,,90,Throne of Eldraine,English
2,Murderous Rider // Swift End,,97,Throne of Eldraine,English
4,Order of Midnight // Alter Fate,,99,Throne of Eldraine,English
4,Smitten Swordmaster // Curry Favor,,105,Throne of Eldraine,English
4,Edgewall Innkeeper,,151,Throne of Eldraine,English
4,Lovestruck Beast // Heart's Desire,,165,Throne of Eldraine,English
4,Lucky Clover,,226,Throne of Eldraine,English
2,Castle Locthwain,,241,Throne of Eldraine,English
1,Fabled Passage,,244,Throne of Eldraine,English
2,Swamp,,258,Throne of Eldraine,English
2,Swamp,,259,Throne of Eldraine,English
2,Swamp,,260,Throne of Eldraine,English
2,Swamp,,261,Throne of Eldraine,English
2,Forest,,266,Throne of Eldraine,English
2,Forest,,267,Throne of Eldraine,English
2,Forest,,268,Throne of Eldraine,English
1,Forest,,269,Throne of Eldraine,English
2,Disfigure,,95,Core Set 2020,English
2,Knight of the Ebon Legion,,105,Core Set 2020,English
3,Jungle Hollow,,248,Core Set 2020,English
2,Temple of Malady,,254,Core Set 2020,English
2,Midnight Reaper,,77,Guilds of Ravnica,English
1,"Vraska, Golgari Queen",,213,Guilds of Ravnica,English
2,Find // Finality,,225,Guilds of Ravnica,English
,,,,,
,SIDEBOARD,,,,
1,Cling to Dust,,87,Theros Beyond Death,English
4,Duress,,97,Core Set 2020,English
4,Noxious Grasp,,110,Core Set 2020,English
2,Thrashing Brontodon,,197,Core Set 2020,English
2,Massacre Girl,,99,War of the Spark,English
2,Kraul Harpooner,,136,Guilds of Ravnica,English
,,,,,
,TOKENS,,,,
3,Human // Human,,3,Extras: Challenger Decks 2020,English
1,"Emblem: Vraska, Golgari Queen // Human",,9,Extras: Challenger Decks 2020,English
1,On an Adventure // On an Adventure,,10,Extras: Challenger Decks 2020,English
