Count,Name,Foil,Card Number,Edition,Language
1,Act of Treason,,124,Core Set 2020,English
1,Chandra's Outrage,,130,Core Set 2020,English
1,Dragon Mage,,135,Core Set 2020,English
1,"Drakuseth, Maw of Flames",,136,Core Set 2020,English
1,Glint-Horn Buccaneer,,141,Core Set 2020,English
2,Goblin Smuggler,,144,Core Set 2020,English
2,Keldon Raider,,146,Core Set 2020,English
4,Pack Mastiff,,152,Core Set 2020,English
2,Ripscale Predator,,157,Core Set 2020,English
1,Shock,,160,Core Set 2020,English
1,Tectonic Rift,,161,Core Set 2020,English
7,Mountain,,273,Core Set 2020,English
6,Mountain,,274,Core Set 2020,English
1,Fiendish Duo,foil,4,Game Night 2019,English
1,Akoum Hellkite,,36,Game Night 2019,English
1,Brute Strength,,37,Game Night 2019,English
1,Destructive Tampering,,38,Game Night 2019,English
2,Dragon Egg,,39,Game Night 2019,English
2,Kargan Dragonrider,,40,Game Night 2019,English
1,"Lathliss, Dragon Queen",,41,Game Night 2019,English
2,Lightning Strike,,42,Game Night 2019,English
2,Sparktongue Dragon,,43,Game Night 2019,English
2,Voldaren Duelist,,44,Game Night 2019,English
1,Zealot of the God-Pharaoh,,45,Game Night 2019,English
1,Howling Golem,,54,Game Night 2019,English
7,Mountain,,61,Game Night 2019,English
6,Mountain,,62,Game Night 2019,English
1,Zombie // Dragon,,3,Extras: Game Night 2019,English
2,Dragon // Dinosaur,,5,Extras: Game Night 2019,English
