Count,Name,Foil,Card Number,Edition,Language
1,Blood for Bones,,89,Core Set 2020,English
1,Bone Splinters,,92,Core Set 2020,English
1,Dread Presence,,96,Core Set 2020,English
3,Gorging Vulture,,102,Core Set 2020,English
2,Gravedigger,,103,Core Set 2020,English
2,Murder,,109,Core Set 2020,English
2,Sanitarium Skeleton,,112,Core Set 2020,English
4,Undead Servant,,118,Core Set 2020,English
1,"Vilis, Broker of Blood",,122,Core Set 2020,English
7,Swamp,,269,Core Set 2020,English
6,Swamp,,270,Core Set 2020,English
1,Calculating Lich,foil,3,Game Night 2019,English
1,Accursed Horde,,26,Game Night 2019,English
1,Carrion Screecher,,27,Game Night 2019,English
2,Crow of Dark Tidings,,28,Game Night 2019,English
1,Gavony Unhallowed,,29,Game Night 2019,English
2,Grasp of Darkness,,30,Game Night 2019,English
1,Liliana's Mastery,,31,Game Night 2019,English
2,Lord of the Accursed,,32,Game Night 2019,English
1,Rise from the Grave,,33,Game Night 2019,English
3,Tattered Mummy,,34,Game Night 2019,English
1,"Torgaar, Famine Incarnate",,35,Game Night 2019,English
1,Howling Golem,,54,Game Night 2019,English
7,Swamp,,59,Game Night 2019,English
6,Swamp,,60,Game Night 2019,English
3,Zombie // Wolf,,4,Extras: Game Night 2019,English
