Count,Name,Foil,Card Number,Edition,Language
1,Griffin Protector,,20,Core Set 2020,English
2,Inspired Charge,,24,Core Set 2020,English
2,Inspiring Captain,,25,Core Set 2020,English
1,Loxodon Lifechanter,,27,Core Set 2020,English
2,Pacifism,,32,Core Set 2020,English
3,Raise the Alarm,,34,Core Set 2020,English
1,"Sephara, Sky's Blade",,36,Core Set 2020,English
2,Squad Captain,,38,Core Set 2020,English
3,Steadfast Sentry,,40,Core Set 2020,English
7,Plains,,263,Core Set 2020,English
6,Plains,,264,Core Set 2020,English
1,Highcliff Felidar,foil,1,Game Night 2019,English
2,Consul's Lieutenant,,6,Game Night 2019,English
2,Fiend Binder,,7,Game Night 2019,English
1,Kytheon's Irregulars,,8,Game Night 2019,English
2,Mighty Leap,,9,Game Night 2019,English
2,Patron of the Valiant,,10,Game Night 2019,English
1,Relief Captain,,11,Game Night 2019,English
1,Steppe Glider,,12,Game Night 2019,English
1,Take Vengeance,,13,Game Night 2019,English
2,Topan Freeblade,,14,Game Night 2019,English
1,"Zetalpa, Primal Dawn",,15,Game Night 2019,English
1,Howling Golem,,54,Game Night 2019,English
7,Plains,,55,Game Night 2019,English
6,Plains,,56,Game Night 2019,English
3,Soldier // Dinosaur,,2,Extras: Game Night 2019,English
