Count,Name,Foil,Card Number,Edition,Language
2,Ferocious Pup,,171,Core Set 2020,English
3,Growth Cycle,,175,Core Set 2020,English
2,Howling Giant,,177,Core Set 2020,English
3,Leafkin Druid,,178,Core Set 2020,English
2,Overcome,,186,Core Set 2020,English
1,Plummet,,188,Core Set 2020,English
2,Silverback Shaman,,195,Core Set 2020,English
1,Voracious Hydra,,200,Core Set 2020,English
1,Wakeroot Elemental,,202,Core Set 2020,English
7,Forest,,277,Core Set 2020,English
6,Forest,,278,Core Set 2020,English
1,Earthshaker Giant,foil,5,Game Night 2019,English
2,Crested Herdcaller,,46,Game Night 2019,English
1,"Ghalta, Primal Hunger",,47,Game Night 2019,English
2,Grazing Whiptail,,48,Game Night 2019,English
2,Ranging Raptors,,49,Game Night 2019,English
1,Ripjaw Raptor,,50,Game Night 2019,English
2,Spidery Grasp,,51,Game Night 2019,English
3,Thunderherd Migration,,52,Game Night 2019,English
2,Thundering Spineback,,53,Game Night 2019,English
1,Howling Golem,,54,Game Night 2019,English
7,Forest,,63,Game Night 2019,English
6,Forest,,64,Game Night 2019,English
3,Zombie // Wolf,,4,Extras: Game Night 2019,English
