Count,Name,Foil,Card Number,Edition,Language
2,Frazzle,,25,Guildpact,English
2,Repeal,,32,Guildpact,English
2,Runeboggle,,33,Guildpact,English
2,Thunderheads,,37,Guildpact,English
3,Train of Thought,,39,Guildpact,English
1,Vacuumelt,,40,Guildpact,English
1,Leyline of Lightning,,68,Guildpact,English
3,Pyromatics,,72,Guildpact,English
1,Electrolyze,,111,Guildpact,English
1,Gelectrode,,113,Guildpact,English
2,Izzet Chronarch,,119,Guildpact,English
1,Tibor and Lumia,,135,Guildpact,English
2,Wee Dragonauts,,137,Guildpact,English
1,Izzet Guildmage,,145,Guildpact,English
2,Petrahydrox,,148,Guildpact,English
2,Izzet Boilerworks,,159,Guildpact,English
1,"Nivix, Aerie of the Firemind",,160,Guildpact,English
2,Convolute,,41,Ravnica: City of Guilds,English
1,Mark of Eviction,,58,Ravnica: City of Guilds,English
2,Peel from Reality,,61,Ravnica: City of Guilds,English
2,Telling Time,,69,Ravnica: City of Guilds,English
1,Rain of Embers,,138,Ravnica: City of Guilds,English
1,Reroute,,139,Ravnica: City of Guilds,English
3,Island,,291,Ravnica: City of Guilds,English
3,Island,,292,Ravnica: City of Guilds,English
3,Island,,293,Ravnica: City of Guilds,English
3,Island,,294,Ravnica: City of Guilds,English
3,Mountain,,299,Ravnica: City of Guilds,English
3,Mountain,,300,Ravnica: City of Guilds,English
2,Mountain,,301,Ravnica: City of Guilds,English
2,Mountain,,302,Ravnica: City of Guilds,English
