Count,Name,Foil,Card Number,Edition,Language
1,Blade Instructor,,1,Guilds of Ravnica,English
1,Conclave Tribunal,,6,Guilds of Ravnica,English
1,Gird for Battle,,12,Guilds of Ravnica,English
1,Light of the Legion,,19,Guilds of Ravnica,English
1,Sunhome Stalwart,,26,Guilds of Ravnica,English
1,Sworn Companions,,27,Guilds of Ravnica,English
1,Venerated Loxodon,,30,Guilds of Ravnica,English
1,Chemister's Insight,,32,Guilds of Ravnica,English
1,Disdainful Stroke,,37,Guilds of Ravnica,English
1,Mission Briefing,,44,Guilds of Ravnica,English
1,Quasiduplicate,,51,Guilds of Ravnica,English
1,Radical Idea,,52,Guilds of Ravnica,English
1,Unexplained Disappearance,,56,Guilds of Ravnica,English
1,Wall of Mist,,58,Guilds of Ravnica,English
1,Barrier of Bones,,61,Guilds of Ravnica,English
1,Blood Operative,,63,Guilds of Ravnica,English
1,Mephitic Vapors,,76,Guilds of Ravnica,English
1,Necrotic Wound,,79,Guilds of Ravnica,English
1,Plaguecrafter,,82,Guilds of Ravnica,English
1,Price of Fame,,83,Guilds of Ravnica,English
1,Direct Current,,96,Guilds of Ravnica,English
1,Electrostatic Field,,97,Guilds of Ravnica,English
1,Erratic Cyclops,,98,Guilds of Ravnica,English
1,Legion Warboss,,109,Guilds of Ravnica,English
1,Wojek Bodyguard,,120,Guilds of Ravnica,English
1,Bounty of Might,,124,Guilds of Ravnica,English
1,Hatchery Spider,,132,Guilds of Ravnica,English
1,Siege Wurm,,144,Guilds of Ravnica,English
1,Beacon Bolt,,154,Guilds of Ravnica,English
1,Camaraderie,,157,Guilds of Ravnica,English
1,Charnel Troll,,160,Guilds of Ravnica,English
1,Conclave Cavalier,,161,Guilds of Ravnica,English
1,Crackling Drake,,163,Guilds of Ravnica,English
1,Firemind's Research,,171,Guilds of Ravnica,English
1,Glowspore Shaman,,173,Guilds of Ravnica,English
1,Goblin Electromancer,,174,Guilds of Ravnica,English
1,Golgari Findbroker,,175,Guilds of Ravnica,English
1,Hammer Dropper,,176,Guilds of Ravnica,English
1,Nightveil Predator,,191,Guilds of Ravnica,English
1,Notion Rain,,193,Guilds of Ravnica,English
1,Rhizome Lurcher,,196,Guilds of Ravnica,English
2,Skyknight Legionnaire,,198,Guilds of Ravnica,English
1,Swiftblade Vindicator,,203,Guilds of Ravnica,English
2,Wee Dragonauts,,214,Guilds of Ravnica,English
1,Vernadi Shieldmate,,219,Guilds of Ravnica,English
1,Discovery // Dispersal,,223,Guilds of Ravnica,English
1,Status // Statue,,230,Guilds of Ravnica,English
2,Boros Guildgate,,243,Guilds of Ravnica,English
2,Boros Guildgate,,244,Guilds of Ravnica,English
2,Dimir Guildgate,,245,Guilds of Ravnica,English
2,Dimir Guildgate,,246,Guilds of Ravnica,English
