Count,Name,Foil,Card Number,Edition,Language
1,"Aurelia, the Warleader",foil,77,Guilds of Ravnica Guild Kit,English
1,Boros Elite,,78,Guilds of Ravnica Guild Kit,English
1,Daring Skyjek,,79,Guilds of Ravnica Guild Kit,English
1,Bomber Corps,,80,Guilds of Ravnica Guild Kit,English
1,Frenzied Goblin,,81,Guilds of Ravnica Guild Kit,English
1,Legion Loyalist,,82,Guilds of Ravnica Guild Kit,English
1,"Agrus Kos, Wojek Veteran",,83,Guilds of Ravnica Guild Kit,English
1,Boros Charm,,84,Guilds of Ravnica Guild Kit,English
1,Boros Reckoner,,85,Guilds of Ravnica Guild Kit,English
2,Boros Swiftblade,,86,Guilds of Ravnica Guild Kit,English
1,Brightflame,,87,Guilds of Ravnica Guild Kit,English
1,Firemane Angel,,88,Guilds of Ravnica Guild Kit,English
1,Firemane Avenger,,89,Guilds of Ravnica Guild Kit,English
1,Lightning Helix,,90,Guilds of Ravnica Guild Kit,English
1,Martial Glory,,91,Guilds of Ravnica Guild Kit,English
1,Master Warcraft,,92,Guilds of Ravnica Guild Kit,English
1,"Razia, Boros Archangel",,93,Guilds of Ravnica Guild Kit,English
1,Spark Trooper,,94,Guilds of Ravnica Guild Kit,English
2,Sunhome Guildmage,,95,Guilds of Ravnica Guild Kit,English
1,Boros Keyrune,,96,Guilds of Ravnica Guild Kit,English
2,Boros Signet,,97,Guilds of Ravnica Guild Kit,English
4,Boros Garrison,,98,Guilds of Ravnica Guild Kit,English
1,"Sunhome, Fortress of the Legion",,99,Guilds of Ravnica Guild Kit,English
8,Mountain,,100,Guilds of Ravnica Guild Kit,English
8,Plains,,101,Guilds of Ravnica Guild Kit,English
1,Blade Instructor,,1,Guilds of Ravnica,English
1,Gird for Battle,,12,Guilds of Ravnica,English
1,Light of the Legion,,19,Guilds of Ravnica,English
1,Sunhome Stalwart,,26,Guilds of Ravnica,English
1,Sworn Companions,,27,Guilds of Ravnica,English
1,Legion Warboss,,109,Guilds of Ravnica,English
1,Wojek Bodyguard,,120,Guilds of Ravnica,English
1,Hammer Dropper,,176,Guilds of Ravnica,English
2,Skyknight Legionnaire,,198,Guilds of Ravnica,English
1,Swiftblade Vindicator,,203,Guilds of Ravnica,English
2,Boros Guildgate,,243,Guilds of Ravnica,English
2,Boros Guildgate,,244,Guilds of Ravnica,English
3,Soldier // Soldier,,2,Extras: Guilds of Ravnica Guild Kit,English
1,Goblin // Soldier,,3,Extras: Guilds of Ravnica Guild Kit,English
1,Goblin // Soldier,,4,Extras: Guilds of Ravnica Guild Kit,English
