Count,Name,Foil,Card Number,Edition,Language
1,"Etrata, the Silencer",foil,1,Guilds of Ravnica Guild Kit,English
1,Stolen Identity,,2,Guilds of Ravnica Guild Kit,English
1,Syncopate,,3,Guilds of Ravnica Guild Kit,English
1,Telling Time,,4,Guilds of Ravnica Guild Kit,English
1,Last Gasp,,5,Guilds of Ravnica Guild Kit,English
1,Netherborn Phalanx,,6,Guilds of Ravnica Guild Kit,English
2,Ribbons of Night,,7,Guilds of Ravnica Guild Kit,English
1,Call of the Nightwing,,8,Guilds of Ravnica Guild Kit,English
1,"Circu, Dimir Lobotomist",,9,Guilds of Ravnica Guild Kit,English
1,Consuming Aberration,,10,Guilds of Ravnica Guild Kit,English
1,Dimir Charm,,11,Guilds of Ravnica Guild Kit,English
1,Dimir Doppelganger,,12,Guilds of Ravnica Guild Kit,English
2,Dimir Guildmage,,13,Guilds of Ravnica Guild Kit,English
1,Dinrova Horror,,14,Guilds of Ravnica Guild Kit,English
1,Glimpse the Unthinkable,,15,Guilds of Ravnica Guild Kit,English
1,"Lazav, Dimir Mastermind",,16,Guilds of Ravnica Guild Kit,English
1,"Mirko Vosk, Mind Drinker",,17,Guilds of Ravnica Guild Kit,English
1,Moroii,,18,Guilds of Ravnica Guild Kit,English
1,Nightveil Specter,,19,Guilds of Ravnica Guild Kit,English
1,"Szadek, Lord of Secrets",,20,Guilds of Ravnica Guild Kit,English
1,Warped Physique,,21,Guilds of Ravnica Guild Kit,English
2,Dimir Signet,,22,Guilds of Ravnica Guild Kit,English
4,Dimir Aqueduct,,23,Guilds of Ravnica Guild Kit,English
8,Island,,24,Guilds of Ravnica Guild Kit,English
8,Swamp,,25,Guilds of Ravnica Guild Kit,English
1,Disdainful Stroke,,37,Guilds of Ravnica,English
1,Mission Briefing,,44,Guilds of Ravnica,English
1,Unexplained Disappearance,,56,Guilds of Ravnica,English
1,Wall of Mist,,58,Guilds of Ravnica,English
1,Barrier of Bones,,61,Guilds of Ravnica,English
1,Blood Operative,,63,Guilds of Ravnica,English
1,Mephitic Vapors,,76,Guilds of Ravnica,English
1,Price of Fame,,83,Guilds of Ravnica,English
1,Nightveil Predator,,191,Guilds of Ravnica,English
1,Notion Rain,,193,Guilds of Ravnica,English
1,Discovery // Dispersal,,223,Guilds of Ravnica,English
2,Dimir Guildgate,,245,Guilds of Ravnica,English
2,Dimir Guildgate,,246,Guilds of Ravnica,English
5,Copy Token // Horror,,1,Extras: Guilds of Ravnica Guild Kit,English
