Count,Name,Foil,Card Number,Edition,Language
1,"Izoni, Thousand-Eyed",foil,50,Guilds of Ravnica Guild Kit,English
2,Darkblast,,51,Guilds of Ravnica Guild Kit,English
1,Slum Reaper,,52,Guilds of Ravnica Guild Kit,English
1,Stinkweed Imp,,53,Guilds of Ravnica Guild Kit,English
1,Vigor Mortis,,54,Guilds of Ravnica Guild Kit,English
1,Deadbridge Goliath,,55,Guilds of Ravnica Guild Kit,English
2,Elves of Deep Shadow,,56,Guilds of Ravnica Guild Kit,English
1,Abrupt Decay,,57,Guilds of Ravnica Guild Kit,English
1,Deadbridge Chant,,58,Guilds of Ravnica Guild Kit,English
1,Deathrite Shaman,,59,Guilds of Ravnica Guild Kit,English
1,Drown in Filth,,60,Guilds of Ravnica Guild Kit,English
1,Gaze of Granite,,61,Guilds of Ravnica Guild Kit,English
1,Golgari Charm,,62,Guilds of Ravnica Guild Kit,English
1,Grave-Shell Scarab,,63,Guilds of Ravnica Guild Kit,English
1,Grisly Salvage,,64,Guilds of Ravnica Guild Kit,English
1,"Jarad, Golgari Lich Lord",,65,Guilds of Ravnica Guild Kit,English
2,Korozda Guildmage,,66,Guilds of Ravnica Guild Kit,English
1,Lotleth Troll,,67,Guilds of Ravnica Guild Kit,English
1,Putrefy,,68,Guilds of Ravnica Guild Kit,English
1,"Savra, Queen of the Golgari",,69,Guilds of Ravnica Guild Kit,English
1,Shambling Shell,,70,Guilds of Ravnica Guild Kit,English
1,Sisters of Stone Death,,71,Guilds of Ravnica Guild Kit,English
1,Treasured Find,,72,Guilds of Ravnica Guild Kit,English
2,Golgari Signet,,73,Guilds of Ravnica Guild Kit,English
4,Golgari Rot Farm,,74,Guilds of Ravnica Guild Kit,English
8,Swamp,,75,Guilds of Ravnica Guild Kit,English
8,Forest,,76,Guilds of Ravnica Guild Kit,English
1,Necrotic Wound,,79,Guilds of Ravnica,English
1,Plaguecrafter,,82,Guilds of Ravnica,English
1,Hatchery Spider,,132,Guilds of Ravnica,English
1,Charnel Troll,,160,Guilds of Ravnica,English
1,Glowspore Shaman,,173,Guilds of Ravnica,English
1,Golgari Findbroker,,175,Guilds of Ravnica,English
1,Rhizome Lurcher,,196,Guilds of Ravnica,English
1,Status // Statue,,230,Guilds of Ravnica,English
2,Golgari Guildgate,,248,Guilds of Ravnica,English
2,Golgari Guildgate,,249,Guilds of Ravnica,English
5,Insect // Saproling,,7,Extras: Guilds of Ravnica Guild Kit,English
