Count,Name,Foil,Card Number,Edition,Language
1,"Niv-Mizzet, the Firemind",foil,26,Guilds of Ravnica Guild Kit,English
1,Thunderheads,,27,Guilds of Ravnica Guild Kit,English
1,Char,,28,Guilds of Ravnica Guild Kit,English
1,Electrickery,,29,Guilds of Ravnica Guild Kit,English
1,Goblin Rally,,30,Guilds of Ravnica Guild Kit,English
2,Guttersnipe,,31,Guilds of Ravnica Guild Kit,English
1,Mizzium Mortars,,32,Guilds of Ravnica Guild Kit,English
1,Pyromatics,,33,Guilds of Ravnica Guild Kit,English
1,Shattering Spree,,34,Guilds of Ravnica Guild Kit,English
1,Cerebral Vortex,,35,Guilds of Ravnica Guild Kit,English
1,Djinn Illuminatus,,36,Guilds of Ravnica Guild Kit,English
1,Electrolyze,,37,Guilds of Ravnica Guild Kit,English
1,Gelectrode,,38,Guilds of Ravnica Guild Kit,English
1,Hypersonic Dragon,,39,Guilds of Ravnica Guild Kit,English
1,Invoke the Firemind,,40,Guilds of Ravnica Guild Kit,English
1,Izzet Charm,,41,Guilds of Ravnica Guild Kit,English
2,Nivix Guildmage,,42,Guilds of Ravnica Guild Kit,English
1,Stitch in Time,,43,Guilds of Ravnica Guild Kit,English
1,Tibor and Lumia,,44,Guilds of Ravnica Guild Kit,English
1,Turn // Burn,,45,Guilds of Ravnica Guild Kit,English
2,Izzet Signet,,46,Guilds of Ravnica Guild Kit,English
4,Izzet Boilerworks,,47,Guilds of Ravnica Guild Kit,English
8,Island,,48,Guilds of Ravnica Guild Kit,English
8,Mountain,,49,Guilds of Ravnica Guild Kit,English
1,Chemister's Insight,,32,Guilds of Ravnica,English
1,Quasiduplicate,,51,Guilds of Ravnica,English
1,Radical Idea,,52,Guilds of Ravnica,English
1,Direct Current,,96,Guilds of Ravnica,English
1,Electrostatic Field,,97,Guilds of Ravnica,English
1,Erratic Cyclops,,98,Guilds of Ravnica,English
1,Beacon Bolt,,154,Guilds of Ravnica,English
1,Crackling Drake,,163,Guilds of Ravnica,English
1,Firemind's Research,,171,Guilds of Ravnica,English
1,Goblin Electromancer,,174,Guilds of Ravnica,English
2,Wee Dragonauts,,214,Guilds of Ravnica,English
2,Izzet Guildgate,,251,Guilds of Ravnica,English
2,Izzet Guildgate,,252,Guilds of Ravnica,English
5,Goblin // Weird,,9,Extras: Guilds of Ravnica Guild Kit,English
