Count,Name,Foil,Card Number,Edition,Language
1,"Trostani, Selesnya's Voice",foil,102,Guilds of Ravnica Guild Kit,English
2,Devouring Light,,103,Guilds of Ravnica Guild Kit,English
1,Hour of Reckoning,,104,Guilds of Ravnica Guild Kit,English
1,Gather Courage,,105,Guilds of Ravnica Guild Kit,English
2,Scatter the Seeds,,106,Guilds of Ravnica Guild Kit,English
1,Advent of the Wurm,,107,Guilds of Ravnica Guild Kit,English
1,Armada Wurm,,108,Guilds of Ravnica Guild Kit,English
1,Call of the Conclave,,109,Guilds of Ravnica Guild Kit,English
1,Centaur Healer,,110,Guilds of Ravnica Guild Kit,English
1,Dryad Militant,,111,Guilds of Ravnica Guild Kit,English
1,Glare of Subdual,,112,Guilds of Ravnica Guild Kit,English
1,Growing Ranks,,113,Guilds of Ravnica Guild Kit,English
1,Loxodon Hierarch,,114,Guilds of Ravnica Guild Kit,English
1,Pollenbright Wings,,115,Guilds of Ravnica Guild Kit,English
1,Privileged Position,,116,Guilds of Ravnica Guild Kit,English
1,Selesnya Charm,,117,Guilds of Ravnica Guild Kit,English
2,Selesnya Evangel,,118,Guilds of Ravnica Guild Kit,English
2,Selesnya Guildmage,,119,Guilds of Ravnica Guild Kit,English
1,Sundering Growth,,120,Guilds of Ravnica Guild Kit,English
1,Tolsimir Wolfblood,,121,Guilds of Ravnica Guild Kit,English
2,Watchwolf,,122,Guilds of Ravnica Guild Kit,English
2,Selesnya Signet,,123,Guilds of Ravnica Guild Kit,English
1,Grove of the Guardian,,124,Guilds of Ravnica Guild Kit,English
4,Selesnya Sanctuary,,125,Guilds of Ravnica Guild Kit,English
8,Plains,,126,Guilds of Ravnica Guild Kit,English
8,Forest,,127,Guilds of Ravnica Guild Kit,English
1,Conclave Tribunal,,6,Guilds of Ravnica,English
1,Venerated Loxodon,,30,Guilds of Ravnica,English
1,Bounty of Might,,124,Guilds of Ravnica,English
1,Siege Wurm,,144,Guilds of Ravnica,English
1,Camaraderie,,157,Guilds of Ravnica,English
1,Conclave Cavalier,,161,Guilds of Ravnica,English
1,Vernadi Shieldmate,,219,Guilds of Ravnica,English
2,Selesnya Guildgate,,255,Guilds of Ravnica,English
2,Selesnya Guildgate,,256,Guilds of Ravnica,English
1,Centaur // Elemental,,5,Extras: Guilds of Ravnica Guild Kit,English
2,Elf Knight // Saproling,,6,Extras: Guilds of Ravnica Guild Kit,English
1,Voja // Saproling,,8,Extras: Guilds of Ravnica Guild Kit,English
1,Saproling // Wurm,,10,Extras: Guilds of Ravnica Guild Kit,English
