Count,Name,Foil,Card Number,Edition,Language
1,Chemister's Insight,,32,Guilds of Ravnica,English
1,Leapfrog,,42,Guilds of Ravnica,English
1,Maximize Altitude,,43,Guilds of Ravnica,English
1,Muse Drake,,46,Guilds of Ravnica,English
1,Omnispell Adept,,49,Guilds of Ravnica,English
1,Passwall Adept,,50,Guilds of Ravnica,English
1,Vedalken Mesmerist,,57,Guilds of Ravnica,English
2,Command the Storm,,94,Guilds of Ravnica,English
1,Direct Current,,96,Guilds of Ravnica,English
1,Erratic Cyclops,,98,Guilds of Ravnica,English
3,Fearless Halberdier,,100,Guilds of Ravnica,English
2,Fire Urchin,,101,Guilds of Ravnica,English
2,Hellkite Whelp,,106,Guilds of Ravnica,English
1,Rubblebelt Boar,,114,Guilds of Ravnica,English
2,Goblin Electromancer,,174,Guilds of Ravnica,English
1,Sonic Assault,,199,Guilds of Ravnica,English
2,Wee Dragonauts,,214,Guilds of Ravnica,English
2,Izzet Guildgate,,251,Guilds of Ravnica,English
2,Izzet Guildgate,,252,Guilds of Ravnica,English
10,Island,,261,Guilds of Ravnica,English
12,Mountain,,263,Guilds of Ravnica,English
1,"Ral, Caller of Storms",foil,265,Guilds of Ravnica,English
2,Ral's Dispersal,,266,Guilds of Ravnica,English
4,Precision Bolt,,267,Guilds of Ravnica,English
3,Ral's Staticaster,,268,Guilds of Ravnica,English
