Count,Name,Foil,Card Number,Edition,Language
2,Bartizan Bats,,62,Guilds of Ravnica,English
3,Dead Weight,,67,Guilds of Ravnica,English
1,Douser of Lights,,70,Guilds of Ravnica,English
1,Lotleth Giant,,74,Guilds of Ravnica,English
3,Spinal Centipede,,86,Guilds of Ravnica,English
1,Beast Whisperer,,123,Guilds of Ravnica,English
1,Bounty of Might,,124,Guilds of Ravnica,English
1,Devkarin Dissident,,127,Guilds of Ravnica,English
2,Ironshell Beetle,,134,Guilds of Ravnica,English
1,Kraul Foragers,,135,Guilds of Ravnica,English
2,Prey Upon,,143,Guilds of Ravnica,English
1,Wild Ceratok,,150,Guilds of Ravnica,English
2,Glowspore Shaman,,173,Guilds of Ravnica,English
2,Rhizome Lurcher,,196,Guilds of Ravnica,English
1,Swarm Guildmage,,201,Guilds of Ravnica,English
2,Golgari Guildgate,,248,Guilds of Ravnica,English
2,Golgari Guildgate,,249,Guilds of Ravnica,English
12,Swamp,,262,Guilds of Ravnica,English
10,Forest,,264,Guilds of Ravnica,English
1,"Vraska, Regal Gorgon",foil,269,Guilds of Ravnica,English
4,Kraul Raider,,270,Guilds of Ravnica,English
3,Attendant of Vraska,,271,Guilds of Ravnica,English
2,Vraska's Stoneglare,,272,Guilds of Ravnica,English
