Count,Name,Foil,Card Number,Edition,Language
1,Aerial Maneuver,,1,Gatecrash,English
1,Boros Elite,,7,Gatecrash,English
1,Court Street Denizen,,8,Gatecrash,English
2,Daring Skyjek,,9,Gatecrash,English
1,Righteous Charge,,23,Gatecrash,English
1,Shielded Passage,,24,Gatecrash,English
1,Act of Treason,,85,Gatecrash,English
1,Bomber Corps,,86,Gatecrash,English
1,Ember Beast,,89,Gatecrash,English
1,Firefist Striker,,90,Gatecrash,English
1,Mark for Death,,99,Gatecrash,English
1,Mugging,,102,Gatecrash,English
2,Warmind Infantry,,111,Gatecrash,English
1,Firemane Avenger,,163,Gatecrash,English
2,Fortress Cyclops,,164,Gatecrash,English
1,Foundry Champion,foil,165,Gatecrash,English
1,Ordruun Veteran,,184,Gatecrash,English
2,Skyknight Legionnaire,,197,Gatecrash,English
1,Sunhome Guildmage,,200,Gatecrash,English
3,Wojek Halberdiers,,208,Gatecrash,English
2,Arrows of Justice,,211,Gatecrash,English
1,Armored Transport,,226,Gatecrash,English
2,Boros Keyrune,,227,Gatecrash,English
1,Boros Guildgate,,239,Gatecrash,English
3,Plains,,250,Return to Ravnica,English
3,Plains,,251,Return to Ravnica,English
2,Plains,,252,Return to Ravnica,English
2,Plains,,253,Return to Ravnica,English
2,Plains,,254,Return to Ravnica,English
3,Mountain,,265,Return to Ravnica,English
3,Mountain,,266,Return to Ravnica,English
2,Mountain,,267,Return to Ravnica,English
2,Mountain,,268,Return to Ravnica,English
2,Mountain,,269,Return to Ravnica,English
2,Warclamp Mastiff,,40,Magic 2013,English
2,Canyon Minotaur,,122,Magic 2013,English
