Count,Name,Foil,Card Number,Edition,Language
2,Angelic Edict,,2,Gatecrash,English
2,Basilica Guards,,5,Gatecrash,English
1,Knight of Obligation,,18,Gatecrash,English
3,Basilica Screecher,,58,Gatecrash,English
2,Dying Wish,,64,Gatecrash,English
1,Shadow Alley Denizen,,76,Gatecrash,English
1,Smog Elemental,,79,Gatecrash,English
2,Syndicate Enforcer,,80,Gatecrash,English
1,Executioner's Swing,,161,Gatecrash,English
1,High Priest of Penance,,171,Gatecrash,English
2,Kingpin's Pet,,173,Gatecrash,English
1,One Thousand Lashes,,183,Gatecrash,English
1,Purge the Profane,,190,Gatecrash,English
1,Treasury Thrull,foil,201,Gatecrash,English
1,Vizkopa Guildmage,,206,Gatecrash,English
1,Gift of Orzhova,,219,Gatecrash,English
2,Orzhov Keyrune,,233,Gatecrash,English
1,Orzhov Guildgate,,244,Gatecrash,English
2,Plains,,250,Return to Ravnica,English
2,Plains,,251,Return to Ravnica,English
2,Plains,,252,Return to Ravnica,English
3,Plains,,253,Return to Ravnica,English
3,Plains,,254,Return to Ravnica,English
3,Swamp,,260,Return to Ravnica,English
3,Swamp,,261,Return to Ravnica,English
3,Swamp,,262,Return to Ravnica,English
2,Swamp,,263,Return to Ravnica,English
2,Swamp,,264,Return to Ravnica,English
1,Guardian Lions,,17,Magic 2013,English
1,Rain of Blades,,28,Magic 2013,English
2,Silvercoat Lion,,35,Magic 2013,English
1,Blood Reckoning,,81,Magic 2013,English
1,Murder,,101,Magic 2013,English
1,Tormented Soul,,111,Magic 2013,English
1,Zombie Goliath,,119,Magic 2013,English
1,Jayemdae Tome,,207,Magic 2013,English
