Count,Name,Foil,Card Number,Edition,Language
4,Boros Elite,,7,Gatecrash,English
2,Firefist Striker,,90,Gatecrash,English
2,Boros Charm,,148,Gatecrash,English
3,Skyknight Legionnaire,,197,Gatecrash,English
1,Spark Trooper,,199,Gatecrash,English
2,Sunhome Guildmage,,200,Gatecrash,English
2,Truefire Paladin,,202,Gatecrash,English
3,Boros Guildgate,,239,Gatecrash,English
1,Ash Zealot,,86,Return to Ravnica,English
2,Plains,,250,Return to Ravnica,English
2,Plains,,251,Return to Ravnica,English
2,Plains,,252,Return to Ravnica,English
2,Plains,,253,Return to Ravnica,English
2,Plains,,254,Return to Ravnica,English
2,Mountain,,265,Return to Ravnica,English
2,Mountain,,266,Return to Ravnica,English
2,Mountain,,267,Return to Ravnica,English
2,Mountain,,268,Return to Ravnica,English
3,Searing Spear,,147,Magic 2013,English
1,Silverblade Paladin,,36,Avacyn Restored,English
2,Lightning Mauler,,144,Avacyn Restored,English
4,Pillar of Flame,,149,Avacyn Restored,English
1,Slayers' Stronghold,,229,Avacyn Restored,English
4,Gather the Townsfolk,,8,Dark Ascension,English
1,"Thalia, Guardian of Thraben",,24,Dark Ascension,English
1,Champion of the Parish,,6,Innistrad,English
4,Doomed Traveler,,11,Innistrad,English
1,Clifftop Retreat,,238,Innistrad,English
,,,,,
,SIDEBOARD,,,,
2,Skullcrack,,106,Gatecrash,English
3,Electrickery,,93,Return to Ravnica,English
2,Oblivion Ring,,22,Magic 2013,English
3,War Priest of Thune,,39,Magic 2013,English
2,Thunderous Wrath,,160,Avacyn Restored,English
3,Bonds of Faith,,5,Innistrad,English
