Count,Name,Foil,Card Number,Edition,Language
1,Cloudfin Raptor,,32,Gatecrash,English
1,Frilled Oculus,,35,Gatecrash,English
1,Leyline Phantom,,41,Gatecrash,English
1,Sapphire Drake,,47,Gatecrash,English
2,Adaptive Snapjaw,,113,Gatecrash,English
2,Crocanura,,116,Gatecrash,English
1,Crowned Ceratok,,117,Gatecrash,English
2,Forced Adaptation,,120,Gatecrash,English
1,Hindervines,,124,Gatecrash,English
1,Ivy Lane Denizen,,125,Gatecrash,English
1,Tower Defense,,137,Gatecrash,English
2,Drakewing Krasis,,157,Gatecrash,English
1,Elusive Krasis,,160,Gatecrash,English
1,Fathom Mage,foil,162,Gatecrash,English
2,Shambleshark,,193,Gatecrash,English
1,Unexpected Results,,203,Gatecrash,English
1,Urban Evolution,,204,Gatecrash,English
1,Zameck Guildmage,,209,Gatecrash,English
2,Bioshift,,214,Gatecrash,English
1,Merfolk of the Depths,,221,Gatecrash,English
2,Simic Keyrune,,237,Gatecrash,English
1,Simic Guildgate,,246,Gatecrash,English
3,Island,,255,Return to Ravnica,English
3,Island,,256,Return to Ravnica,English
3,Island,,257,Return to Ravnica,English
2,Island,,258,Return to Ravnica,English
2,Island,,259,Return to Ravnica,English
3,Forest,,270,Return to Ravnica,English
3,Forest,,271,Return to Ravnica,English
2,Forest,,272,Return to Ravnica,English
2,Forest,,273,Return to Ravnica,English
2,Forest,,274,Return to Ravnica,English
2,Encrust,,49,Magic 2013,English
2,Kraken Hatchling,,58,Magic 2013,English
1,Sleep,,67,Magic 2013,English
1,Chronomaton,,201,Magic 2013,English
