Count,Name,Foil,Card Number,Edition,Language
4,Verdant Haven,,138,Gatecrash,English
2,Ground Assault,,168,Gatecrash,English
1,Gruul Ragebeast,,170,Gatecrash,English
3,Urban Evolution,,204,Gatecrash,English
4,Simic Guildgate,,246,Gatecrash,English
2,Island,,256,Return to Ravnica,English
2,Island,,257,Return to Ravnica,English
2,Island,,258,Return to Ravnica,English
1,Mountain,,267,Return to Ravnica,English
2,Forest,,270,Return to Ravnica,English
2,Forest,,271,Return to Ravnica,English
2,Forest,,272,Return to Ravnica,English
2,Forest,,273,Return to Ravnica,English
2,Forest,,274,Return to Ravnica,English
2,Fog Bank,,52,Magic 2013,English
1,Sphinx of Uthuun,,69,Magic 2013,English
2,Acidic Slime,,159,Magic 2013,English
4,Arbor Elf,,160,Magic 2013,English
4,Farseek,,170,Magic 2013,English
1,Thragtusk,,193,Magic 2013,English
1,"Yeva, Nature's Herald",,197,Magic 2013,English
2,Evolving Wilds,,224,Magic 2013,English
1,Deadeye Navigator,,47,Avacyn Restored,English
2,Mist Raven,,67,Avacyn Restored,English
3,Borderland Ranger,,169,Avacyn Restored,English
1,Wolfir Silverheart,,206,Avacyn Restored,English
1,Dungeon Geists,,36,Dark Ascension,English
3,Strangleroot Geist,,127,Dark Ascension,English
1,Bramblecrush,,172,Innistrad,English
,,,,,
,SIDEBOARD,,,,
2,Naturalize,,127,Gatecrash,English
2,Negate,,62,Magic 2013,English
4,Flames of the Firebrand,,132,Magic 2013,English
3,Rancor,,185,Magic 2013,English
4,Dissipate,,53,Innistrad,English
