Count,Name,Foil,Card Number,Edition,Language
1,Cleansing Nova,,9,Core Set 2019,English
2,Dwarven Priest,,11,Core Set 2019,English
2,Gallant Cavalry,,12,Core Set 2019,English
1,Hieromancer's Cage,,14,Core Set 2019,English
2,Knightly Valor,,20,Core Set 2019,English
2,Luminous Bonds,,25,Core Set 2019,English
1,Mentor of the Meek,,27,Core Set 2019,English
3,Militia Bugler,,29,Core Set 2019,English
2,Pegasus Courser,,32,Core Set 2019,English
1,Valiant Knight,,42,Core Set 2019,English
1,Militant Angel,,1,Game Night,English
1,Aerial Responder,,6,Game Night,English
1,Always Watching,,7,Game Night,English
1,Benalish Marshal,,8,Game Night,English
2,Bright Reprisal,,9,Game Night,English
2,Call the Cavalry,,10,Game Night,English
1,Everdawn Champion,,11,Game Night,English
2,Fan Bearer,,12,Game Night,English
2,Inspiring Captain,,14,Game Night,English
2,Mesa Unicorn,,15,Game Night,English
2,Serra Angel,,16,Game Night,English
1,Subjugator Angel,,17,Game Night,English
6,Plains,,59,Game Night,English
6,Plains,,60,Game Night,English
7,Plains,,263,Core Set 2019,English
6,Plains,,264,Core Set 2019,English
