Count,Name,Foil,Card Number,Edition,Language
1,Cleansing Nova,,9,Core Set 2019,English
2,Dwarven Priest,,11,Core Set 2019,English
2,Gallant Cavalry,,12,Core Set 2019,English
1,Hieromancer's Cage,,14,Core Set 2019,English
2,Knightly Valor,,20,Core Set 2019,English
2,Luminous Bonds,,25,Core Set 2019,English
1,Mentor of the Meek,,27,Core Set 2019,English
3,Militia Bugler,,29,Core Set 2019,English
2,Pegasus Courser,,32,Core Set 2019,English
1,Valiant Knight,,42,Core Set 2019,English
2,Aviation Pioneer,,46,Core Set 2019,English
1,Gearsmith Prodigy,,57,Core Set 2019,English
1,Metamorphic Alteration,,60,Core Set 2019,English
1,One with the Machine,,66,Core Set 2019,English
1,"Sai, Master Thopterist",,69,Core Set 2019,English
2,Scholar of Stars,,71,Core Set 2019,English
2,Skilled Animator,,73,Core Set 2019,English
1,Switcheroo,,78,Core Set 2019,English
2,Wall of Mist,,83,Core Set 2019,English
2,Blood Divination,,86,Core Set 2019,English
1,Death Baron,,90,Core Set 2019,English
2,Doomed Dissenter,,93,Core Set 2019,English
1,Gravedigger,,98,Core Set 2019,English
1,Graveyard Marshal,,99,Core Set 2019,English
2,Infectious Horror,,101,Core Set 2019,English
3,Murder,,110,Core Set 2019,English
1,Open the Graves,,112,Core Set 2019,English
2,Reassembling Skeleton,,116,Core Set 2019,English
2,Stitcher's Supplier,,121,Core Set 2019,English
1,Act of Treason,,127,Core Set 2019,English
1,Demanding Dragon,,135,Core Set 2019,English
2,Goblin Instigator,,142,Core Set 2019,English
1,Goblin Motivator,,143,Core Set 2019,English
2,Goblin Trashmaster,,144,Core Set 2019,English
2,Guttersnipe,,145,Core Set 2019,English
1,Havoc Devils,,146,Core Set 2019,English
3,Shock,,156,Core Set 2019,English
1,Trumpet Blast,,165,Core Set 2019,English
2,Volley Veteran,,168,Core Set 2019,English
2,Colossal Dreadmaw,,172,Core Set 2019,English
2,Elvish Rejuvenator,,180,Core Set 2019,English
2,Ghastbark Twins,,181,Core Set 2019,English
2,Giant Spider,,183,Core Set 2019,English
1,Gigantosaurus,,185,Core Set 2019,English
1,"Goreclaw, Terror of Qal Sisma",,186,Core Set 2019,English
1,Pelakka Wurm,,192,Core Set 2019,English
3,Rabid Bite,,195,Core Set 2019,English
1,Reclamation Sage,,196,Core Set 2019,English
1,Talons of Wildwood,,202,Core Set 2019,English
1,Vigilant Baloth,,206,Core Set 2019,English
2,Gearsmith Guardian,,237,Core Set 2019,English
2,Skyscanner,,245,Core Set 2019,English
7,Plains,,263,Core Set 2019,English
6,Plains,,264,Core Set 2019,English
7,Island,,267,Core Set 2019,English
6,Island,,268,Core Set 2019,English
7,Swamp,,269,Core Set 2019,English
6,Swamp,,270,Core Set 2019,English
7,Mountain,,273,Core Set 2019,English
6,Mountain,,274,Core Set 2019,English
7,Forest,,278,Core Set 2019,English
6,Forest,,279,Core Set 2019,English
1,Shivan Dragon,,300,Core Set 2019,English
1,Militant Angel,,1,Game Night,English
1,Inspired Sphinx,,2,Game Night,English
1,Rot Hulk,,3,Game Night,English
1,Goblin Goliath,,4,Game Night,English
1,Avatar of Growth,,5,Game Night,English
1,Aerial Responder,,6,Game Night,English
1,Always Watching,,7,Game Night,English
1,Benalish Marshal,,8,Game Night,English
2,Bright Reprisal,,9,Game Night,English
2,Call the Cavalry,,10,Game Night,English
1,Everdawn Champion,,11,Game Night,English
2,Fan Bearer,,12,Game Night,English
2,Inspiring Captain,,14,Game Night,English
2,Mesa Unicorn,,15,Game Night,English
2,Serra Angel,,16,Game Night,English
1,Subjugator Angel,,17,Game Night,English
1,Advanced Stitchwing,,18,Game Night,English
2,Air Elemental,,19,Game Night,English
2,Claustrophobia,,20,Game Night,English
2,Favorable Winds,,21,Game Night,English
1,Hydrolash,,22,Game Night,English
1,Reckless Scholar,,23,Game Night,English
1,Soulblade Djinn,,24,Game Night,English
2,Whirler Rogue,,25,Game Night,English
1,"Zahid, Djinn of the Lamp",,26,Game Night,English
1,Bone Splinters,,27,Game Night,English
2,Cruel Revival,,28,Game Night,English
1,Fleshbag Marauder,,29,Game Night,English
1,Gruesome Fate,,30,Game Night,English
1,Languish,,31,Game Night,English
1,Liliana's Mastery,,32,Game Night,English
2,Lord of the Accursed,,33,Game Night,English
2,Tattered Mummy,,34,Game Night,English
2,Thallid Soothsayer,,35,Game Night,English
2,Zulaport Cutthroat,,36,Game Night,English
2,Bombard,,37,Game Night,English
1,Captivating Crew,,38,Game Night,English
2,Dragon Fodder,,39,Game Night,English
2,Rolling Thunder,,40,Game Night,English
1,Seismic Elemental,,41,Game Night,English
1,Siege-Gang Commander,,42,Game Night,English
2,Tormenting Voice,,43,Game Night,English
1,"Ghalta, Primal Hunger",,44,Game Night,English
1,Jungle Delver,,45,Game Night,English
3,Llanowar Elves,,46,Game Night,English
1,Nissa's Revelation,,47,Game Night,English
1,Overcome,,48,Game Night,English
2,Seek the Wilds,,49,Game Night,English
2,Thrashing Brontodon,,50,Game Night,English
4,Eager Construct,,51,Game Night,English
2,Filigree Familiar,,52,Game Night,English
4,Howling Golem,,53,Game Night,English
1,Manalith,,54,Game Night,English
2,Pilgrim's Eye,,55,Game Night,English
1,Rhonas's Monument,,56,Game Night,English
2,Snare Thopter,,57,Game Night,English
2,Welder Automaton,,58,Game Night,English
6,Plains,,59,Game Night,English
6,Plains,,60,Game Night,English
6,Island,,61,Game Night,English
6,Island,,62,Game Night,English
6,Swamp,,63,Game Night,English
6,Swamp,,64,Game Night,English
6,Mountain,,65,Game Night,English
6,Mountain,,66,Game Night,English
6,Forest,,67,Game Night,English
6,Forest,,68,Game Night,English
2,Knight // Zombie,,1,Extras: Game Night,English
3,Knight // Goblin,,2,Extras: Game Night,English
3,Knight // Thopter,,3,Extras: Game Night,English
2,Zombie // Goblin,,4,Extras: Game Night,English
2,Zombie // Thopter,,5,Extras: Game Night,English
3,Goblin // Thopter,,6,Extras: Game Night,English
