Count,Name,Foil,Card Number,Edition,Language
2,Colossal Dreadmaw,,172,Core Set 2019,English
2,Elvish Rejuvenator,,180,Core Set 2019,English
2,Ghastbark Twins,,181,Core Set 2019,English
2,Giant Spider,,183,Core Set 2019,English
1,Gigantosaurus,,185,Core Set 2019,English
1,"Goreclaw, Terror of Qal Sisma",,186,Core Set 2019,English
1,Pelakka Wurm,,192,Core Set 2019,English
3,Rabid Bite,,195,Core Set 2019,English
1,Reclamation Sage,,196,Core Set 2019,English
1,Talons of Wildwood,,202,Core Set 2019,English
1,Vigilant Baloth,,206,Core Set 2019,English
1,Avatar of Growth,,5,Game Night,English
1,"Ghalta, Primal Hunger",,44,Game Night,English
1,Jungle Delver,,45,Game Night,English
3,Llanowar Elves,,46,Game Night,English
1,Nissa's Revelation,,47,Game Night,English
1,Overcome,,48,Game Night,English
2,Seek the Wilds,,49,Game Night,English
2,Thrashing Brontodon,,50,Game Night,English
2,Eager Construct,,51,Game Night,English
2,Howling Golem,,53,Game Night,English
1,Manalith,,54,Game Night,English
1,Rhonas's Monument,,56,Game Night,English
6,Forest,,67,Game Night,English
6,Forest,,68,Game Night,English
7,Forest,,278,Core Set 2019,English
6,Forest,,279,Core Set 2019,English
