Count,Name,Foil,Card Number,Edition,Language
2,Blood Divination,,86,Core Set 2019,English
1,Death Baron,,90,Core Set 2019,English
2,Doomed Dissenter,,93,Core Set 2019,English
1,Gravedigger,,98,Core Set 2019,English
1,Graveyard Marshal,,99,Core Set 2019,English
2,Infectious Horror,,101,Core Set 2019,English
3,Murder,,110,Core Set 2019,English
1,Open the Graves,,112,Core Set 2019,English
2,Reassembling Skeleton,,116,Core Set 2019,English
2,Stitcher's Supplier,,121,Core Set 2019,English
1,Rot Hulk,,3,Game Night,English
1,Bone Splinters,,27,Game Night,English
2,Cruel Revival,,28,Game Night,English
1,Fleshbag Marauder,,29,Game Night,English
1,Gruesome Fate,,30,Game Night,English
1,Languish,,31,Game Night,English
1,Liliana's Mastery,,32,Game Night,English
2,Lord of the Accursed,,33,Game Night,English
2,Tattered Mummy,,34,Game Night,English
2,Thallid Soothsayer,,35,Game Night,English
2,Zulaport Cutthroat,,36,Game Night,English
2,Filigree Familiar,,52,Game Night,English
6,Swamp,,63,Game Night,English
6,Swamp,,64,Game Night,English
7,Swamp,,269,Core Set 2019,English
6,Swamp,,270,Core Set 2019,English
