Count,Name,Foil,Card Number,Edition,Language
2,Aviation Pioneer,,46,Core Set 2019,English
1,Gearsmith Prodigy,,57,Core Set 2019,English
1,Metamorphic Alteration,,60,Core Set 2019,English
1,One with the Machine,,66,Core Set 2019,English
1,"Sai, Master Thopterist",,69,Core Set 2019,English
2,Scholar of Stars,,71,Core Set 2019,English
2,Skilled Animator,,73,Core Set 2019,English
1,Switcheroo,,78,Core Set 2019,English
2,Wall of Mist,,83,Core Set 2019,English
2,Gearsmith Guardian,,237,Core Set 2019,English
2,Skyscanner,,245,Core Set 2019,English
1,Inspired Sphinx,,2,Game Night,English
1,Advanced Stitchwing,,18,Game Night,English
2,Air Elemental,,19,Game Night,English
2,Claustrophobia,,20,Game Night,English
2,Favorable Winds,,21,Game Night,English
1,Hydrolash,,22,Game Night,English
1,Reckless Scholar,,23,Game Night,English
1,Soulblade Djinn,,24,Game Night,English
2,Whirler Rogue,,25,Game Night,English
1,"Zahid, Djinn of the Lamp",,26,Game Night,English
2,Pilgrim's Eye,,55,Game Night,English
2,Snare Thopter,,57,Game Night,English
6,Island,,61,Game Night,English
6,Island,,62,Game Night,English
7,Island,,267,Core Set 2019,English
6,Island,,268,Core Set 2019,English
