Count,Name,Foil,Card Number,Edition,Language
1,Act of Treason,,127,Core Set 2019,English
1,Demanding Dragon,,135,Core Set 2019,English
2,Goblin Instigator,,142,Core Set 2019,English
1,Goblin Motivator,,143,Core Set 2019,English
2,Goblin Trashmaster,,144,Core Set 2019,English
2,Guttersnipe,,145,Core Set 2019,English
1,Havoc Devils,,146,Core Set 2019,English
3,Shock,,156,Core Set 2019,English
1,Trumpet Blast,,165,Core Set 2019,English
2,Volley Veteran,,168,Core Set 2019,English
1,Shivan Dragon,,300,Core Set 2019,English
1,Goblin Goliath,,4,Game Night,English
2,Bombard,,37,Game Night,English
1,Captivating Crew,,38,Game Night,English
2,Dragon Fodder,,39,Game Night,English
2,Rolling Thunder,,40,Game Night,English
1,Seismic Elemental,,41,Game Night,English
1,Siege-Gang Commander,,42,Game Night,English
2,Tormenting Voice,,43,Game Night,English
2,Eager Construct,,51,Game Night,English
2,Howling Golem,,53,Game Night,English
2,Welder Automaton,,58,Game Night,English
6,Mountain,,65,Game Night,English
6,Mountain,,66,Game Night,English
7,Mountain,,273,Core Set 2019,English
6,Mountain,,274,Core Set 2019,English
