Count,Name,Foil,Card Number,Edition,Language
1,Jiang Yanggu,foil,22,Global Series: Jiang Yanggu and Mu Yanling,English
2,Leopard-Spotted Jiao,,23,Global Series: Jiang Yanggu and Mu Yanling,English
3,Feiyi Snake,,24,Global Series: Jiang Yanggu and Mu Yanling,English
3,Sacred White Deer,,25,Global Series: Jiang Yanggu and Mu Yanling,English
4,Reckless Pangolin,,26,Global Series: Jiang Yanggu and Mu Yanling,English
2,Giant Spider,,27,Global Series: Jiang Yanggu and Mu Yanling,English
3,Ferocious Zheng,,28,Global Series: Jiang Yanggu and Mu Yanling,English
2,Fire-Omen Crane,,29,Global Series: Jiang Yanggu and Mu Yanling,English
1,Screeching Phoenix,,30,Global Series: Jiang Yanggu and Mu Yanling,English
2,Earthshaking Si,,31,Global Series: Jiang Yanggu and Mu Yanling,English
2,Hardened-Scale Armor,,32,Global Series: Jiang Yanggu and Mu Yanling,English
2,Breath of Fire,,33,Global Series: Jiang Yanggu and Mu Yanling,English
2,Aggressive Instinct,,34,Global Series: Jiang Yanggu and Mu Yanling,English
2,Confidence from Strength,,35,Global Series: Jiang Yanggu and Mu Yanling,English
2,Journey for the Elixir,,36,Global Series: Jiang Yanggu and Mu Yanling,English
2,Cleansing Screech,,37,Global Series: Jiang Yanggu and Mu Yanling,English
4,Timber Gorge,,38,Global Series: Jiang Yanggu and Mu Yanling,English
9,Mountain,,39,Global Series: Jiang Yanggu and Mu Yanling,English
12,Forest,,40,Global Series: Jiang Yanggu and Mu Yanling,English
1,Mowu // Mowu,,41,Global Series: Jiang Yanggu and Mu Yanling,English
