Count,Name,Foil,Card Number,Edition,Language
1,Mu Yanling,foil,1,Global Series: Jiang Yanggu and Mu Yanling,English
2,Colorful Feiyi Sparrow,,2,Global Series: Jiang Yanggu and Mu Yanling,English
2,Purple-Crystal Crab,,3,Global Series: Jiang Yanggu and Mu Yanling,English
2,Vivid Flying Fish,,4,Global Series: Jiang Yanggu and Mu Yanling,English
2,Welkin Tern,,5,Global Series: Jiang Yanggu and Mu Yanling,English
2,Heavenly Qilin,,6,Global Series: Jiang Yanggu and Mu Yanling,English
2,Armored Whirl Turtle,,7,Global Series: Jiang Yanggu and Mu Yanling,English
2,Nine-Tail White Fox,,8,Global Series: Jiang Yanggu and Mu Yanling,English
2,Earth-Origin Yak,,9,Global Series: Jiang Yanggu and Mu Yanling,English
3,Moon-Eating Dog,,10,Global Series: Jiang Yanggu and Mu Yanling,English
2,Stormcloud Spirit,,11,Global Series: Jiang Yanggu and Mu Yanling,English
1,Ancestor Dragon,,12,Global Series: Jiang Yanggu and Mu Yanling,English
1,Cloak of Mists,,13,Global Series: Jiang Yanggu and Mu Yanling,English
2,Qilin's Blessing,,14,Global Series: Jiang Yanggu and Mu Yanling,English
2,Drown in Shapelessness,,15,Global Series: Jiang Yanggu and Mu Yanling,English
3,Dragon's Presence,,16,Global Series: Jiang Yanggu and Mu Yanling,English
2,Brilliant Plan,,17,Global Series: Jiang Yanggu and Mu Yanling,English
2,Rhythmic Water Vortex,,18,Global Series: Jiang Yanggu and Mu Yanling,English
4,Meandering River,,19,Global Series: Jiang Yanggu and Mu Yanling,English
9,Plains,,20,Global Series: Jiang Yanggu and Mu Yanling,English
12,Island,,21,Global Series: Jiang Yanggu and Mu Yanling,English
,,,,,
1,Jiang Yanggu,foil,22,Global Series: Jiang Yanggu and Mu Yanling,English
2,Leopard-Spotted Jiao,,23,Global Series: Jiang Yanggu and Mu Yanling,English
3,Feiyi Snake,,24,Global Series: Jiang Yanggu and Mu Yanling,English
3,Sacred White Deer,,25,Global Series: Jiang Yanggu and Mu Yanling,English
4,Reckless Pangolin,,26,Global Series: Jiang Yanggu and Mu Yanling,English
2,Giant Spider,,27,Global Series: Jiang Yanggu and Mu Yanling,English
3,Ferocious Zheng,,28,Global Series: Jiang Yanggu and Mu Yanling,English
2,Fire-Omen Crane,,29,Global Series: Jiang Yanggu and Mu Yanling,English
1,Screeching Phoenix,,30,Global Series: Jiang Yanggu and Mu Yanling,English
2,Earthshaking Si,,31,Global Series: Jiang Yanggu and Mu Yanling,English
2,Hardened-Scale Armor,,32,Global Series: Jiang Yanggu and Mu Yanling,English
2,Breath of Fire,,33,Global Series: Jiang Yanggu and Mu Yanling,English
2,Aggressive Instinct,,34,Global Series: Jiang Yanggu and Mu Yanling,English
2,Confidence from Strength,,35,Global Series: Jiang Yanggu and Mu Yanling,English
2,Journey for the Elixir,,36,Global Series: Jiang Yanggu and Mu Yanling,English
2,Cleansing Screech,,37,Global Series: Jiang Yanggu and Mu Yanling,English
4,Timber Gorge,,38,Global Series: Jiang Yanggu and Mu Yanling,English
9,Mountain,,39,Global Series: Jiang Yanggu and Mu Yanling,English
12,Forest,,40,Global Series: Jiang Yanggu and Mu Yanling,English
1,Mowu // Mowu,,41,Global Series: Jiang Yanggu and Mu Yanling,English
