Count,Name,Foil,Card Number,Edition,Language
2,Aerial Guide,,29,Hour of Devastation,English
2,Aven Reedstalker,,30,Hour of Devastation,English
3,Unsummon,,54,Hour of Devastation,English
2,Ambuscade,,110,Hour of Devastation,English
2,Feral Prowler,,115,Hour of Devastation,English
2,River Hoopoe,,143,Hour of Devastation,English
1,Reason // Believe,,154,Hour of Devastation,English
4,Island,,192,Hour of Devastation,English
4,Island,,193,Hour of Devastation,English
7,Forest,,198,Hour of Devastation,English
7,Forest,,199,Hour of Devastation,English
1,"Nissa, Genesis Mage",foil,200,Hour of Devastation,English
3,Avid Reclaimer,,201,Hour of Devastation,English
4,Brambleweft Behemoth,,202,Hour of Devastation,English
2,Nissa's Encouragement,,203,Hour of Devastation,English
4,Woodland Stream,,204,Hour of Devastation,English
2,Angler Drake,,41,Amonkhet,English
3,Pouncing Cheetah,,179,Amonkhet,English
1,Bounty of the Luxa,,196,Amonkhet,English
2,Weaver of Currents,,209,Amonkhet,English
2,Spring // Mind,,219,Amonkhet,English
