Count,Name,Foil,Card Number,Edition,Language
4,Fanatical Firebrand,,101,Rivals of Ixalan,English
4,Lightning Strike,,149,Ixalan,English
2,Abrade,,83,Hour of Devastation,English
4,Ahn-Crop Crasher,,117,Amonkhet,English
1,Glorybringer,,134,Amonkhet,English
3,Harsh Mentor,,135,Amonkhet,English
1,Hazoret the Fervent,,136,Amonkhet,English
2,Magma Spray,,141,Amonkhet,English
3,Soul-Scar Mage,,148,Amonkhet,English
4,Sunscorched Desert,,249,Amonkhet,English
3,"Kari Zev, Skyship Raider",,87,Aether Revolt,English
4,Shock,,98,Aether Revolt,English
1,"Chandra, Torch of Defiance",,110,Kaladesh,English
4,Bomat Courier,,199,Kaladesh,English
7,Mountain,,264,Amonkhet,English
7,Mountain,,265,Amonkhet,English
6,Mountain,,266,Amonkhet,English
,,,,,
,SIDEBOARD,,,,
3,Sentinel Totem,,245,Ixalan,English
4,Chandra's Defeat,,86,Hour of Devastation,English
2,Magma Spray,,141,Amonkhet,English
2,Kari Zev's Expertise,,88,Aether Revolt,English
2,Pia Nalaar,,124,Kaladesh,English
2,Key to the City,,220,Kaladesh,English
