Count,Name,Foil,Card Number,Edition,Language
4,Bonds of Faith,,5,Innistrad,English
1,Champion of the Parish,,6,Innistrad,English
4,Doomed Traveler,,11,Innistrad,English
1,Elite Inquisitor,,13,Innistrad,English
4,Fiend Hunter,,15,Innistrad,English
2,Butcher's Cleaver,,217,Innistrad,English
2,Silver-Inlaid Dagger,,233,Innistrad,English
8,Plains,,250,Innistrad,English
8,Plains,,251,Innistrad,English
8,Plains,,252,Innistrad,English
2,Elite Vanguard,,15,Magic 2012,English
4,Gideon's Lawkeeper,,18,Magic 2012,English
2,Honor of the Pure,,23,Magic 2012,English
4,Oblivion Ring,,27,Magic 2012,English
4,Accorder Paladin,,1,Mirrodin Besieged,English
2,Mirran Crusader,,14,Mirrodin Besieged,English
,,,,,
,SIDEBOARD,,,,
1,Nevermore,,25,Innistrad,English
4,Celestial Purge,,11,Magic 2012,English
3,Suture Priest,,25,New Phyrexia,English
4,Leonin Relic-Warder,,10,Mirrodin Besieged,English
3,Nihil Spellbomb,,187,Scars of Mirrodin,English
