Count,Name,Card Number,Edition,Language
1,Phyrexian,26,Jumpstart Front Cards,English
1,Thriving Moor,37,Jumpstart,English
1,Swamp,58,Jumpstart,English
1,Douse in Gloom,223,Jumpstart,English
1,Entomber Exarch,227,Jumpstart,English
1,Parasitic Implant,262,Jumpstart,English
1,Phyrexian Broodlings,263,Jumpstart,English
1,Phyrexian Debaser,264,Jumpstart,English
1,Phyrexian Gargantua,265,Jumpstart,English
1,Phyrexian Rager,266,Jumpstart,English
1,Phyrexian Reclamation,267,Jumpstart,English
1,"Sheoldred, Whispering One",278,Jumpstart,English
1,Myr Sire,475,Jumpstart,English
1,Perilous Myr,476,Jumpstart,English
1,Malefic Scythe,112,Core Set 2021,English
6,Swamp,,Core Set 2021,English
