Count,Name,Card Number,Edition,Language
,Rogues,32,Jumpstart Front Cards,English
1,Nocturnal Feeder,16,Jumpstart,English
1,Thriving Moor,37,Jumpstart,English
1,Swamp,57,Jumpstart,English
1,Corpse Hauler,219,Jumpstart,English
1,Corpse Traders,220,Jumpstart,English
1,Last Gasp,247,Jumpstart,English
1,Lawless Broker,249,Jumpstart,English
1,Nightshade Stinger,258,Jumpstart,English
1,Oona's Blackguard,261,Jumpstart,English
1,Stab Wound,281,Jumpstart,English
1,Rogue's Gloves,479,Jumpstart,English
1,Alchemist's Gift,87,Core Set 2021,English
1,Masked Blackguard,113,Core Set 2021,English
1,Thieves' Guild Enforcer,125,Core Set 2021,English
6,Swamp,,Core Set 2021,English
