Count,Name,Card Number,Edition,Language
,Vampires,42,Jumpstart Front Cards,English
1,Nocturnal Feeder,16,Jumpstart,English
1,Thriving Moor,37,Jumpstart,English
1,Swamp,60,Jumpstart,English
1,Agonizing Syphon,199,Jumpstart,English
1,Blood Host,208,Jumpstart,English
1,Bloodbond Vampire,209,Jumpstart,English
1,Child of Night,218,Jumpstart,English
1,Eternal Thirst,229,Jumpstart,English
1,Gifted Aetherborn,239,Jumpstart,English
1,Last Gasp,247,Jumpstart,English
1,Gloom Sower,100,Core Set 2021,English
1,Sanguine Indulgence,121,Core Set 2021,English
1,Silversmote Ghoul,122,Core Set 2021,English
1,"Vito, Thorn of the Dusk Rose",127,Core Set 2021,English
6,Swamp,,Core Set 2021,English
