Count,Name,Card Number,Edition,Language
,Witchcraft,45,Jumpstart Front Cards,English
1,Witch of the Moors,18,Jumpstart,English
1,Thriving Moor,37,Jumpstart,English
1,Swamp,59,Jumpstart,English
1,Bake into a Pie,201,Jumpstart,English
1,Black Cat,203,Jumpstart,English
1,Blood Divination,207,Jumpstart,English
1,Bloodhunter Bat,210,Jumpstart,English
1,Bogbrew Witch,211,Jumpstart,English
2,Festering Newt,234,Jumpstart,English
1,Last Gasp,247,Jumpstart,English
1,Swarm of Bloodflies,282,Jumpstart,English
1,Tempting Witch,283,Jumpstart,English
1,Bubbling Cauldron,460,Jumpstart,English
6,Swamp,,Core Set 2021,English
