Count,Name,Card Number,Edition,Language
,Dinosaurs,8,Jumpstart Front Cards,English
1,Thriving Grove,34,Jumpstart,English
1,Forest,73,Jumpstart,English
1,Commune with Dinosaurs,384,Jumpstart,English
1,Crushing Canopy,386,Jumpstart,English
1,Drover of the Mighty,388,Jumpstart,English
1,"Ghalta, Primal Hunger",399,Jumpstart,English
1,Orazca Frillback,416,Jumpstart,English
1,Savage Stomp,427,Jumpstart,English
1,Colossal Dreadmaw,176,Core Set 2021,English
1,Cultivate,177,Core Set 2021,English
1,Drowsing Tyrannodon,178,Core Set 2021,English
1,Ornery Dilophosaur,194,Core Set 2021,English
1,Setessan Training,205,Core Set 2021,English
1,Thrashing Brontodon,209,Core Set 2021,English
6,Forest,,Core Set 2021,English
