Count,Name,Card Number,Edition,Language
1,Garruk,16,Jumpstart Front Cards,English
1,Thriving Grove,34,Jumpstart,English
1,Affectionate Indrik,373,Jumpstart,English
1,Brushstrider,381,Jumpstart,English
1,Hunter's Insight,402,Jumpstart,English
1,Orazca Frillback,416,Jumpstart,English
1,Rumbling Baloth,426,Jumpstart,English
1,Drowsing Tyrannodon,178,Core Set 2021,English
1,"Garruk, Unleashed",183,Core Set 2021,English
1,Garruk's Gorehorn,184,Core Set 2021,English
1,Garruk's Harbinger,185,Core Set 2021,English
1,Garruk's Uprising,186,Core Set 2021,English
1,Hunter's Edge,189,Core Set 2021,English
1,Ranger's Guile,199,Core Set 2021,English
6,Forest,,Core Set 2021,English
1,Forest,313,Core Set 2021,English
