Count,Name,Card Number,Edition,Language
1,Predatory,29,Jumpstart Front Cards,English
1,Thriving Grove,34,Jumpstart,English
1,Forest,76,Jumpstart,English
1,Affectionate Indrik,373,Jumpstart,English
1,Brindle Shoat,380,Jumpstart,English
1,Crushing Canopy,386,Jumpstart,English
1,Dawntreader Elk,387,Jumpstart,English
1,Irresistible Prey,406,Jumpstart,English
1,Momentous Fall,411,Jumpstart,English
1,Ravenous Baloth,424,Jumpstart,English
1,Sylvan Brushstrider,434,Jumpstart,English
1,Time to Feed,438,Jumpstart,English
1,Fungal Rebirth,182,Core Set 2021,English
1,Sabertooth Mauler,202,Core Set 2021,English
1,Trufflesnout,212,Core Set 2021,English
6,Forest,,Core Set 2021,English
