Count,Name,Card Number,Edition,Language
,Tree-Hugging,39,Jumpstart Front Cards,English
1,Thriving Grove,34,Jumpstart,English
1,Forest,70,Jumpstart,English
1,Aggressive Urge,374,Jumpstart,English
1,Ambassador Oak,375,Jumpstart,English
1,Crushing Canopy,386,Jumpstart,English
1,Explore,393,Jumpstart,English
1,Nature's Way,412,Jumpstart,English
1,Primordial Sage,422,Jumpstart,English
1,Wall of Blossoms,442,Jumpstart,English
1,Burlfist Oak,174,Core Set 2021,English
1,Gnarled Sage,187,Core Set 2021,English
1,Llanowar Visionary,193,Core Set 2021,English
1,Snarespinner,207,Core Set 2021,English
1,Warden of the Woods,213,Core Set 2021,English
6,Forest,,Core Set 2021,English
