Count,Name,Card Number,Edition,Language
,Chandra,6,Jumpstart Front Cards,English
1,Thriving Bluff,33,Jumpstart,English
1,Fanatical Firebrand,315,Jumpstart,English
1,Flames of the Firebrand,317,Jumpstart,English
1,Hungry Flames,336,Jumpstart,English
1,Pillar of Flame,355,Jumpstart,English
1,Pyroclastic Elemental,356,Jumpstart,English
1,Young Pyromancer,372,Jumpstart,English
1,"Chandra, Heart of Fire",135,Core Set 2021,English
1,Chandra's Incinerator,136,Core Set 2021,English
2,Chandra's Magmutt,137,Core Set 2021,English
1,Chandra's Pyreling,138,Core Set 2021,English
1,Thrill of Possibility,165,Core Set 2021,English
6,Mountain,,Core Set 2021,English
1,Mountain,312,Core Set 2021,English
