Count,Name,Card Number,Edition,Language
,Devilish,7,Jumpstart Front Cards,English
1,Chained Brute,19,Jumpstart,English
1,Spiteful Prankster,26,Jumpstart,English
1,"Zurzoth, Chaos Rider",27,Jumpstart,English
1,Thriving Bluff,33,Jumpstart,English
1,Mountain,63,Jumpstart,English
1,Collateral Damage,305,Jumpstart,English
1,Dance with Devils,306,Jumpstart,English
1,Forge Devil,322,Jumpstart,English
1,Heartfire,333,Jumpstart,English
1,Torch Fiend,367,Jumpstart,English
1,Havoc Jester,149,Core Set 2021,English
1,Hobblefiend,152,Core Set 2021,English
1,Pitchburn Devils,156,Core Set 2021,English
1,Traitorous Greed,166,Core Set 2021,English
6,Mountain,,Core Set 2021,English
