Count,Name,Card Number,Edition,Language
,Dragons,12,Jumpstart Front Cards,English
1,Thriving Bluff,33,Jumpstart,English
1,Mountain,62,Jumpstart,English
1,Bathe in Dragonfire,293,Jumpstart,English
1,Draconic Roar,308,Jumpstart,English
1,Dragon Fodder,309,Jumpstart,English
1,Dragon Hatchling,310,Jumpstart,English
1,Dragonspeaker Shaman,312,Jumpstart,English
1,Lightning Shrieker,345,Jumpstart,English
1,Rapacious Dragon,358,Jumpstart,English
1,Dragonloft Idol,463,Jumpstart,English
1,Hellkite Punisher,151,Core Set 2021,English
1,Terror of the Peaks,164,Core Set 2021,English
1,Thrill of Possibility,165,Core Set 2021,English
7,Mountain,,Core Set 2021,English
