Count,Name,Card Number,Edition,Language
,Goblins,17,Jumpstart Front Cards,English
1,Thriving Bluff,33,Jumpstart,English
1,Mountain,65,Jumpstart,English
1,Beetleback Chief,294,Jumpstart,English
1,Boggart Brute,299,Jumpstart,English
1,Goblin Chieftain,324,Jumpstart,English
1,Goblin Commando,325,Jumpstart,English
1,Goblin Goon,326,Jumpstart,English
1,Goblin Instigator,327,Jumpstart,English
1,Goblin Shortcutter,330,Jumpstart,English
1,Makeshift Munitions,348,Jumpstart,English
1,Ornery Goblin,353,Jumpstart,English
1,Volley Veteran,369,Jumpstart,English
1,Goblin Arsonist,147,Core Set 2021,English
1,Shock,159,Core Set 2021,English
6,Mountain,,Core Set 2021,English
