Count,Name,Card Number,Edition,Language
,Lightning,21,Jumpstart Front Cards,English
1,Lightning Phoenix,21,Jumpstart,English
2,Lightning Visionary,22,Jumpstart,English
1,Living Lightning,23,Jumpstart,English
1,Lightning-Core Excavator,32,Jumpstart,English
1,Thriving Bluff,33,Jumpstart,English
1,Mountain,68,Jumpstart,English
1,Homing Lightning,335,Jumpstart,English
1,Lightning Axe,341,Jumpstart,English
1,Lightning Bolt,342,Jumpstart,English
1,Lightning Diadem,343,Jumpstart,English
1,Lightning Elemental,344,Jumpstart,English
1,Lightning Shrieker,345,Jumpstart,English
1,Weaver of Lightning,371,Jumpstart,English
6,Mountain,,Core Set 2021,English
