Count,Name,Card Number,Edition,Language
,Minotaurs,25,Jumpstart Front Cards,English
1,Lightning Visionary,22,Jumpstart,English
1,"Sethron, Hurloon General",25,Jumpstart,English
1,Thriving Bluff,33,Jumpstart,English
1,Mountain,69,Jumpstart,English
1,Bloodrage Brawler,296,Jumpstart,English
1,Borderland Minotaur,301,Jumpstart,English
1,Flurry of Horns,321,Jumpstart,English
1,Minotaur Skullcleaver,349,Jumpstart,English
1,Minotaur Sureshot,350,Jumpstart,English
1,Rageblood Shaman,357,Jumpstart,English
1,Soul Sear,160,Core Set 2021,English
1,Sure Strike,163,Core Set 2021,English
1,Traitorous Greed,166,Core Set 2021,English
1,Unleash Fury,170,Core Set 2021,English
6,Mountain,,Core Set 2021,English
